Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
17;1;Floreat Athena;17;12;3;2;40;17;23;39;2.294
17;2;Nedlands;17;11;2;4;39;22;17;35;2.059
17;3;Mandurah City;17;10;2;5;42;31;11;32;1.882
17;4;Joondalup;17;10;1;6;31;25;6;31;1.824
17;5;Inglewood;17;8;3;6;17;18;-1;27;1.588
17;6;Kingsley Westside;17;8;1;8;27;24;3;25;1.471
17;7;Gwelup Croatia;17;5;6;6;25;31;-6;21;1.235
17;8;Quinns;17;6;3;8;22;33;-11;21;1.235
17;9;Cockburn City;17;5;4;8;28;35;-7;19;1.118
17;10;Murdoch Melville;17;3;7;7;28;34;-6;16;0.941
17;11;Subiaco;17;4;1;12;28;40;-12;13;0.765
17;12;Curtin Univ;17;2;3;12;14;31;-17;9;0.529
