Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Mandurah City;1;1;0;0;5;1;4;3;3.0
1;2;Floreat Athena;1;1;0;0;3;1;2;3;3.0
1;3;Joondalup;1;1;0;0;3;1;2;3;3.0
1;4;Kingsley Westside;1;1;0;0;2;0;2;3;3.0
1;5;Quinns;1;1;0;0;2;0;2;3;3.0
1;6;Cockburn City;1;0;1;0;2;2;0;1;1.0
1;7;Murdoch Melville;1;0;1;0;2;2;0;1;1.0
1;8;Gwelup Croatia;1;0;0;1;1;3;-2;0;0.0
1;9;Nedlands;1;0;0;1;1;3;-2;0;0.0
1;10;Curtin Univ;1;0;0;1;0;2;-2;0;0.0
1;11;Inglewood;1;0;0;1;0;2;-2;0;0.0
1;12;Subiaco;1;0;0;1;1;5;-4;0;0.0
2;1;Mandurah City;2;2;0;0;8;3;5;6;3.0
2;2;Quinns;2;2;0;0;6;3;3;6;3.0
2;3;Floreat Athena;2;2;0;0;5;2;3;6;3.0
2;4;Kingsley Westside;2;1;1;0;2;0;2;4;2.0
2;5;Joondalup;2;1;0;1;4;3;1;3;1.5
2;6;Murdoch Melville;2;0;2;0;3;3;0;2;1.0
2;7;Cockburn City;2;0;1;1;4;5;-1;1;0.5
2;8;Gwelup Croatia;2;0;1;1;2;4;-2;1;0.5
2;9;Nedlands;2;0;1;1;2;4;-2;1;0.5
2;10;Inglewood;2;0;1;1;1;3;-2;1;0.5
2;11;Curtin Univ;2;0;1;1;0;2;-2;1;0.5
2;12;Subiaco;2;0;0;2;4;9;-5;0;0.0
3;1;Kingsley Westside;3;2;1;0;5;1;4;7;2.333
3;2;Quinns;3;2;1;0;7;4;3;7;2.333
3;3;Floreat Athena;3;2;1;0;5;2;3;7;2.333
3;4;Mandurah City;3;2;0;1;9;6;3;6;2.0
3;5;Nedlands;3;1;1;1;6;6;0;4;1.333
3;6;Gwelup Croatia;3;1;1;1;3;4;-1;4;1.333
3;7;Murdoch Melville;3;0;3;0;4;4;0;3;1.0
3;8;Joondalup;3;1;0;2;4;5;-1;3;1.0
3;9;Subiaco;3;1;0;2;6;9;-3;3;1.0
3;10;Inglewood;3;0;2;1;1;3;-2;2;0.667
3;11;Cockburn City;3;0;1;2;6;9;-3;1;0.333
3;12;Curtin Univ;3;0;1;2;0;3;-3;1;0.333
4;1;Floreat Athena;4;3;1;0;7;3;4;10;2.5
4;2;Kingsley Westside;4;2;1;1;7;4;3;7;1.75
4;3;Gwelup Croatia;4;2;1;1;8;6;2;7;1.75
4;4;Quinns;4;2;1;1;7;5;2;7;1.75
4;5;Nedlands;4;2;1;1;9;8;1;7;1.75
4;6;Mandurah City;4;2;0;2;11;11;0;6;1.5
4;7;Joondalup;4;2;0;2;5;5;0;6;1.5
4;8;Inglewood;4;1;2;1;2;3;-1;5;1.25
4;9;Cockburn City;4;1;1;2;7;9;-2;4;1.0
4;10;Murdoch Melville;4;0;3;1;5;6;-1;3;0.75
4;11;Subiaco;4;1;0;3;6;10;-4;3;0.75
4;12;Curtin Univ;4;0;1;3;0;4;-4;1;0.25
5;1;Floreat Athena;5;4;1;0;10;4;6;13;2.6
5;2;Kingsley Westside;5;3;1;1;10;5;5;10;2.0
5;3;Nedlands;5;3;1;1;12;8;4;10;2.0
5;4;Gwelup Croatia;5;3;1;1;9;6;3;10;2.0
5;5;Joondalup;5;3;0;2;7;6;1;9;1.8
5;6;Quinns;5;2;1;2;7;8;-1;7;1.4
5;7;Murdoch Melville;5;1;3;1;7;7;0;6;1.2
5;8;Mandurah City;5;2;0;3;12;13;-1;6;1.2
5;9;Inglewood;5;1;2;2;2;4;-2;5;1.0
5;10;Cockburn City;5;1;1;3;8;12;-4;4;0.8
5;11;Subiaco;5;1;0;4;7;12;-5;3;0.6
5;12;Curtin Univ;5;0;1;4;1;7;-6;1;0.2
6;1;Floreat Athena;6;5;1;0;11;4;7;16;2.667
6;2;Nedlands;6;4;1;1;16;8;8;13;2.167
6;3;Kingsley Westside;6;4;1;1;11;5;6;13;2.167
6;4;Joondalup;6;4;0;2;11;9;2;12;2.0
6;5;Gwelup Croatia;6;3;2;1;13;10;3;11;1.833
6;6;Quinns;6;2;1;3;7;9;-2;7;1.167
6;7;Murdoch Melville;6;1;3;2;10;11;-1;6;1.0
6;8;Mandurah City;6;2;0;4;12;14;-2;6;1.0
6;9;Cockburn City;6;1;2;3;12;16;-4;5;0.833
6;10;Inglewood;6;1;2;3;2;8;-6;5;0.833
6;11;Curtin Univ;6;1;1;4;2;7;-5;4;0.667
6;12;Subiaco;6;1;0;5;7;13;-6;3;0.5
7;1;Floreat Athena;7;6;1;0;16;8;8;19;2.714
7;2;Nedlands;7;5;1;1;19;8;11;16;2.286
7;3;Joondalup;7;5;0;2;13;10;3;15;2.143
7;4;Kingsley Westside;7;4;1;2;12;7;5;13;1.857
7;5;Gwelup Croatia;7;3;3;1;15;12;3;12;1.714
7;6;Quinns;7;3;1;3;9;9;0;10;1.429
7;7;Inglewood;7;2;2;3;4;9;-5;8;1.143
7;8;Murdoch Melville;7;1;4;2;12;13;-1;7;1.0
7;9;Mandurah City;7;2;0;5;13;16;-3;6;0.857
7;10;Cockburn City;7;1;2;4;12;18;-6;5;0.714
7;11;Curtin Univ;7;1;1;5;2;10;-8;4;0.571
7;12;Subiaco;7;1;0;6;11;18;-7;3;0.429
8;1;Floreat Athena;8;7;1;0;20;8;12;22;2.75
8;2;Nedlands;8;5;1;2;20;11;9;16;2.0
8;3;Joondalup;8;5;0;3;14;13;1;15;1.875
8;4;Kingsley Westside;8;4;1;3;12;11;1;13;1.625
8;5;Quinns;8;4;1;3;11;10;1;13;1.625
8;6;Gwelup Croatia;8;3;3;2;16;17;-1;12;1.5
8;7;Murdoch Melville;8;2;4;2;15;15;0;10;1.25
8;8;Mandurah City;8;3;0;5;16;17;-1;9;1.125
8;9;Cockburn City;8;2;2;4;15;19;-4;8;1.0
8;10;Inglewood;8;2;2;4;5;11;-6;8;1.0
8;11;Subiaco;8;2;0;6;16;19;-3;6;0.75
8;12;Curtin Univ;8;1;1;6;4;13;-9;4;0.5
9;1;Floreat Athena;9;7;2;0;20;8;12;23;2.556
9;2;Nedlands;9;6;1;2;23;11;12;19;2.111
9;3;Kingsley Westside;9;5;1;3;14;12;2;16;1.778
9;4;Joondalup;9;5;0;4;14;14;0;15;1.667
9;5;Quinns;9;4;1;4;11;14;-3;13;1.444
9;6;Mandurah City;9;4;0;5;20;17;3;12;1.333
9;7;Gwelup Croatia;9;3;3;3;17;19;-2;12;1.333
9;8;Inglewood;9;3;2;4;6;11;-5;11;1.222
9;9;Murdoch Melville;9;2;4;3;15;18;-3;10;1.111
9;10;Cockburn City;9;2;3;4;15;19;-4;9;1.0
9;11;Curtin Univ;9;2;1;6;6;13;-7;7;0.778
9;12;Subiaco;9;2;0;7;16;21;-5;6;0.667
10;1;Floreat Athena;10;7;2;1;21;10;11;23;2.3
10;2;Nedlands;10;7;1;2;26;13;13;22;2.2
10;3;Joondalup;10;6;0;4;16;14;2;18;1.8
10;4;Kingsley Westside;10;5;1;4;15;15;0;16;1.6
10;5;Mandurah City;10;5;0;5;22;18;4;15;1.5
10;6;Quinns;10;4;2;4;12;15;-3;14;1.4
10;7;Inglewood;10;4;2;4;8;12;-4;14;1.4
10;8;Murdoch Melville;10;3;4;3;18;19;-1;13;1.3
