Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;BW Linz;6;5;0;1;17;4;13;15;2.5
6;2;First Vienna;6;4;1;1;11;6;5;13;2.167
6;3;Liefering;6;3;1;2;14;11;3;10;1.667
6;4;A. Salzburg;6;3;1;2;13;10;3;10;1.667
6;5;Innsbruck;6;3;1;2;8;6;2;10;1.667
6;6;Sturm Graz 2;6;3;1;2;15;14;1;10;1.667
6;7;Bregenz;6;3;1;2;10;10;0;10;1.667
6;8;Floridsdorfer AC;6;3;1;2;9;10;-1;10;1.667
6;9;Amstetten;6;2;3;1;10;8;2;9;1.5
6;10;Austria (Am);6;3;0;3;9;10;-1;9;1.5
6;11;St. Polten;6;2;0;4;4;5;-1;6;1.0
6;12;Admira;6;2;0;4;5;7;-2;6;1.0
6;13;Voitsberg;6;1;3;2;8;11;-3;6;1.0
6;14;SK Rapid 2;6;2;0;4;6;13;-7;6;1.0
6;15;Hertha Wels;6;1;1;4;7;14;-7;4;0.667
6;16;Kapfenberg;6;1;0;5;6;13;-7;3;0.5
