Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Neusiedl;3;2;1;0;6;2;4;7;2.333
4;2;Margarethen;4;2;1;1;7;4;3;7;1.75
4;3;Leithaprodersdorf;3;2;1;0;6;4;2;7;2.333
4;4;Pama;3;2;0;1;3;3;0;6;2.0
4;5;Bad Sauerbrunn;2;1;1;0;5;2;3;4;2.0
4;6;Kohfidisch;3;1;1;1;5;3;2;4;1.333
4;7;Klingenbach;2;1;1;0;3;2;1;4;2.0
4;8;SV Eberau;3;1;1;1;2;1;1;4;1.333
4;9;Deutschkreutz;3;1;1;1;2;3;-1;4;1.333
4;10;Oberpullendorf;2;1;0;1;3;1;2;3;1.5
4;11;Pinkafeld;3;0;3;0;4;4;0;3;1.0
4;12;Edelserpentin;3;1;0;2;5;6;-1;3;1.0
4;13;Halbturn;3;1;0;2;3;6;-3;3;1.0
4;14;Neudorf/Parndorf;2;0;1;1;0;3;-3;1;0.5
4;15;Rust;3;0;0;3;4;9;-5;0;0.0
4;16;Lackenbach;2;0;0;2;0;5;-5;0;0.0
