Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;KAC 1909;3;3;0;0;11;2;9;9;3.0
4;2;Launsdorf;3;3;0;0;8;4;4;9;3.0
4;3;SC St. Veit;3;2;1;0;10;4;6;7;2.333
4;4;Seeboden;3;2;1;0;9;6;3;7;2.333
4;5;SC Landskron;3;2;1;0;7;4;3;7;2.333
4;6;Atus Ferlach;3;2;1;0;4;1;3;7;2.333
4;7;Matrei;3;2;0;1;5;3;2;6;2.0
4;8;TSV Grafenstein;3;1;1;1;4;3;1;4;1.333
4;9;SAK Klagenfurt;3;1;1;1;4;5;-1;4;1.333
4;10;Lendorf;3;1;0;2;4;5;-1;3;1.0
4;11;SGA Sirnitz;3;1;0;2;3;6;-3;3;1.0
4;12;SV Spittal;3;0;1;2;2;4;-2;1;0.333
4;13;Saint Michael Lavanttal;3;0;1;2;4;8;-4;1;0.333
4;14;Dellach/Gail;3;0;0;3;3;6;-3;0;0.0
4;15;Kottmannsdorf;3;0;0;3;4;10;-6;0;0.0
4;16;Nussdorf;3;0;0;3;3;14;-11;0;0.0
