Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Wiener Neustadt;5;4;0;1;11;4;7;12;2.4
5;2;Ebreichsdorf;5;3;1;1;19;11;8;10;2.0
5;3;Retz;5;3;1;1;9;5;4;10;2.0
5;4;Zwettl;5;3;1;1;8;5;3;10;2.0
5;5;ASK Ybbs;5;3;1;1;6;3;3;10;2.0
5;6;Hohenau;5;3;0;2;9;8;1;9;1.8
5;7;Wieselburg;5;2;2;1;10;7;3;8;1.6
5;8;SCU Kilb;5;2;2;1;10;9;1;8;1.6
5;9;Korneuburg;5;2;2;1;7;6;1;8;1.6
5;10;Langenrohr;5;1;3;1;6;6;0;6;1.2
5;11;Ardagger;5;1;2;2;8;10;-2;5;1.0
5;12;Ortmann;5;1;1;3;5;8;-3;4;0.8
5;13;Admira (Am);5;1;1;3;9;14;-5;4;0.8
5;14;St. Polten (Am);5;1;0;4;4;9;-5;3;0.6
5;15;St. Peter in der Au;5;0;2;3;9;15;-6;2;0.4
5;16;Amstetten (Am);5;0;1;4;5;15;-10;1;0.2
