Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;A. Klagenfurt;1;1;0;0;5;0;5;3;3.0
1;2;Volkermarkt;1;1;0;0;5;0;5;3;3.0
1;3;Weiz;1;1;0;0;4;0;4;3;3.0
1;4;Kalsdorf;1;1;0;0;5;2;3;3;3.0
1;5;Tillmitsch;1;1;0;0;2;1;1;3;3.0
1;6;Atus Velden;1;0;1;0;0;0;0;1;1.0
1;7;Treibach;1;0;1;0;0;0;0;1;1.0
1;8;Gleisdorf;1;0;0;1;1;2;-1;0;0.0
1;9;Allerheiligen;1;0;0;1;2;5;-3;0;0.0
1;10;Deutschlandsberger;1;0;0;1;0;4;-4;0;0.0
1;11;ATSV Wolfsberger;1;0;0;1;0;5;-5;0;0.0
1;12;Wolfsberger (Am);1;0;0;1;0;5;-5;0;0.0
