Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Wiener;3;3;0;0;7;1;6;9;3.0
5;2;SV Oberwart;4;3;0;1;8;4;4;9;2.25
5;3;Parndorf;4;2;2;0;10;3;7;8;2.0
5;4;Warth;4;2;1;1;6;6;0;7;1.75
5;5;Gloggnitz;5;2;1;2;7;8;-1;7;1.4
5;6;Marchfeld;3;2;0;1;9;2;7;6;2.0
5;7;Favoritner;4;2;0;2;3;3;0;6;1.5
5;8;Mattersburg SV 2020;5;2;0;3;5;6;-1;6;1.2
5;9;Donaufeld Wien;4;2;0;2;4;7;-3;6;1.5
5;10;Leobendorf;4;1;2;1;2;2;0;5;1.25
5;11;Horn;3;1;1;1;4;2;2;4;1.333
5;12;Traiskirchen;3;1;1;1;7;7;0;4;1.333
5;13;Wiener Viktoria;4;1;1;2;5;5;0;4;1.0
5;14;Kremser;3;0;2;1;3;5;-2;2;0.667
5;15;SV Donau;3;0;1;2;3;11;-8;1;0.333
5;16;Wienerberger;4;0;0;4;3;14;-11;0;0.0
