Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Wals-Grunau;8;5;3;0;18;11;7;18;2.25
8;2;Wallern/St Marienkirchen;8;5;1;2;24;9;15;16;2.0
8;3;Union Gurten;8;5;1;2;18;9;9;16;2.0
8;4;Grodig;7;4;0;3;11;9;2;12;1.714
8;5;LASK (Am);7;3;2;2;21;10;11;11;1.571
8;6;Kuchl;7;3;2;2;13;9;4;11;1.571
8;7;Schallerbach;6;3;1;2;14;9;5;10;1.667
8;8;TSV St. Johann;8;3;1;4;8;14;-6;10;1.25
8;9;Ried (Am);8;3;1;4;9;17;-8;10;1.25
8;10;Leonfelden;7;2;3;2;14;15;-1;9;1.286
8;11;Dietach;7;2;2;3;10;19;-9;8;1.143
8;12;Vorwarts Steyr;6;2;1;3;7;9;-2;7;1.167
8;13;Seekirchen;8;2;1;5;8;17;-9;7;0.875
8;14;UFC Hallein;7;1;2;4;8;17;-9;5;0.714
8;15;Saalfelden;8;1;1;6;12;21;-9;4;0.5
