Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Treibach;2;2;0;0;6;1;5;6;3.0
2;2;Wolfsberger (Am);2;1;1;0;4;2;2;4;2.0
2;3;Atus Velden;2;1;1;0;2;1;1;4;2.0
2;4;Lafnitz;1;1;0;0;2;1;1;3;3.0
2;5;Gleisdorf;1;1;0;0;1;0;1;3;3.0
2;6;Kalsdorf;1;1;0;0;1;0;1;3;3.0
2;7;A. Klagenfurt;2;1;0;1;2;3;-1;3;1.5
2;8;ATSV Wolfsberger;2;0;2;0;3;3;0;2;1.0
2;9;Allerheiligen;1;0;1;0;1;1;0;1;1.0
2;10;Deutschlandsberger;1;0;1;0;1;1;0;1;1.0
2;11;Bleiburg;2;0;1;1;2;3;-1;1;0.5
2;12;Volkermarkt;2;0;1;1;1;4;-3;1;0.5
2;13;Weiz;1;0;0;1;1;2;-1;0;0.0
2;14;Hartberg (Am);1;0;0;1;0;1;-1;0;0.0
2;15;Tillmitsch;1;0;0;1;0;1;-1;0;0.0
2;16;Donau Klagenfurt;2;0;0;2;1;4;-3;0;0.0
