Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Hohenems;2;2;0;0;9;2;7;6;3.0
2;2;Kufstein;2;1;1;0;4;2;2;4;2.0
2;3;SC Imst;1;1;0;0;3;0;3;3;3.0
2;4;Kitzbuhel;1;1;0;0;2;0;2;3;3.0
2;5;Rothis;1;1;0;0;3;2;1;3;3.0
2;6;Schwaz;1;1;0;0;3;2;1;3;3.0
2;7;Reichenau;2;1;0;1;1;3;-2;3;1.5
2;8;Altach U21;1;0;1;0;2;2;0;1;1.0
2;9;Wolfurt;1;0;1;0;2;2;0;1;1.0
2;10;Dornbirn;1;0;1;0;1;1;0;1;1.0
2;11;Lochau;2;0;1;1;3;4;-1;1;0.5
2;12;Tirol (Am);2;0;1;1;1;2;-1;1;0.5
2;13;Fugen;1;0;0;1;2;3;-1;0;0.0
2;14;Lauterach;1;0;0;1;2;3;-1;0;0.0
2;15;SK St. Johann;1;0;0;1;1;3;-2;0;0.0
2;16;FC Lustenau;2;0;0;2;0;8;-8;0;0.0
