Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
9;1;Strasswalchen;8;8;0;0;26;8;18;24;3.0
9;2;Burmoos;7;7;0;0;18;3;15;21;3.0
9;3;Puch;7;4;2;1;22;12;10;14;2.0
9;4;TSU Bramberg;7;4;1;2;16;10;6;13;1.857
9;5;Seekirchen U21;7;4;1;2;15;15;0;13;1.857
9;6;USK Anif;7;4;0;3;17;12;5;12;1.714
9;7;Golling;7;3;1;3;19;12;7;10;1.429
9;8;UFC Siezenheim;7;2;4;1;15;14;1;10;1.429
9;9;SAK 1914;7;3;1;3;8;9;-1;10;1.429
9;10;USV 1960 Berndorf;7;2;1;4;15;15;0;7;1.0
9;11;Union Henndorf;7;2;1;4;15;19;-4;7;1.0
9;12;Thalgau;8;2;1;5;8;18;-10;7;0.875
9;13;ATSV Salzburg;7;2;0;5;5;22;-17;6;0.857
9;14;Eugendorf;7;1;2;4;12;17;-5;5;0.714
9;15;Schwarzach;7;1;0;6;6;19;-13;3;0.429
9;16;Neumarkt;7;0;1;6;11;23;-12;1;0.143
