Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Rotenberg;5;4;1;0;13;4;9;13;2.6
5;2;Brauerei Egg;4;4;0;0;10;3;7;12;3.0
5;3;Nenzing;4;2;1;1;6;3;3;7;1.75
5;4;Admira Dornbirn;4;2;1;1;8;7;1;7;1.75
5;5;Bizau;4;2;1;1;4;3;1;7;1.75
5;6;Dornbirner SV;5;1;3;1;5;5;0;6;1.2
5;7;Ludesch;5;2;0;3;7;9;-2;6;1.2
5;8;Hard;4;1;2;1;8;8;0;5;1.25
5;9;Riefensberg;4;1;2;1;6;6;0;5;1.25
5;10;Schlins;3;1;1;1;4;5;-1;4;1.333
5;11;Alberschwende;4;1;0;3;2;5;-3;3;0.75
5;12;Feldkirch;4;1;0;3;4;8;-4;3;0.75
5;13;Andelsbuch;4;0;1;3;2;7;-5;1;0.25
5;14;A. Lustenau (Am);4;0;1;3;4;10;-6;1;0.25
