Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;Niva Dolbizno;19;12;3;4;43;21;22;39;2.053
20;2;Slutsk;19;12;3;4;39;22;17;39;2.053
20;3;Lida;19;11;3;5;35;29;6;36;1.895
20;4;SKA-1938;19;10;5;4;38;22;16;35;1.842
20;5;FC Slonim;18;9;3;6;33;23;10;30;1.667
20;6;Volna Pinsk;18;9;3;6;34;29;5;30;1.667
20;7;Soligorsk;18;8;5;5;37;25;12;29;1.611
20;8;BumProm Gomel;18;8;4;6;33;24;9;28;1.556
20;9;Molodechno;18;8;2;8;27;33;-6;26;1.444
20;10;Din. Minsk 2;18;7;4;7;32;26;6;25;1.389
20;11;Minsk 2;18;8;1;9;24;34;-10;25;1.389
20;12;Orsha;17;6;3;8;21;30;-9;21;1.235
20;13;Uni X Labs;18;5;4;9;17;27;-10;19;1.056
20;14;Ostrovets;18;3;9;6;21;26;-5;18;1.0
20;15;Gomel 2;18;4;5;9;25;29;-4;17;0.944
20;16;Smorgon;18;4;5;9;20;29;-9;17;0.944
20;17;Osipovichi;19;4;1;14;22;51;-29;13;0.684
20;18;BATE 2;18;2;5;11;22;43;-21;11;0.611
20;19;Arsenal Dzerzhinsk;1;0;1;0;1;1;0;1;1.0
20;20;FC Baranovichi;1;0;1;0;1;1;0;1;1.0
20;21;Gomel;1;0;1;0;1;1;0;1;1.0
20;22;Slavia Mozyr;1;0;1;0;1;1;0;1;1.0
