Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Isloch;21;13;6;2;36;16;20;45;2.143
25;2;ML Vitebsk;20;11;8;1;37;16;21;41;2.05
25;3;Din. Minsk;20;12;4;4;35;16;19;40;2.0
25;4;Gomel;23;11;6;6;32;18;14;39;1.696
25;5;Dynamo Brest;22;11;4;7;34;21;13;37;1.682
25;6;Neman;21;10;4;7;24;19;5;34;1.619
25;7;FC Minsk;23;10;4;9;31;28;3;34;1.478
25;8;Vitebsk;22;9;6;7;22;21;1;33;1.5
25;9;Zhodino;21;7;6;8;28;23;5;27;1.286
25;10;Slavia Mozyr;22;6;7;9;23;26;-3;25;1.136
25;11;Baranovici;21;6;6;9;23;35;-12;24;1.143
25;12;Arsenal Dzerzhinsk;23;5;8;10;25;40;-15;23;1.0
25;13;BATE;21;3;9;9;16;25;-9;18;0.857
25;14;Belshina;21;4;6;11;20;36;-16;18;0.857
25;15;Dnepr Mogilev;22;2;10;10;18;32;-14;16;0.727
25;16;Naftan;22;2;5;15;19;54;-35;11;0.5
25;17;Torpedo Zhodino;1;1;0;0;4;2;2;3;3.0
25;18;BATE Borisov;1;1;0;0;2;1;1;3;3.0
25;19;Neman Grodno;1;1;0;0;1;0;1;3;3.0
25;20;FC Baranovichi;1;0;1;0;1;1;0;1;1.0
25;21;Belshina Bobruisk;1;0;0;1;0;1;-1;0;0.0
