Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
10;1;Royale Union SG;7;6;1;0;21;3;18;19;2.714
10;2;Gent;7;6;1;0;13;4;9;19;2.714
10;3;Club Brugge;7;6;0;1;15;3;12;18;2.571
10;4;Charleroi;7;6;0;1;15;7;8;18;2.571
10;5;Anderlecht;7;4;1;2;7;5;2;13;1.857
10;6;Waregem;7;3;2;2;10;7;3;11;1.571
10;7;St. Liege;7;3;2;2;13;12;1;11;1.571
10;8;Westerlo;7;3;1;3;15;16;-1;10;1.429
10;9;Genk;7;2;3;2;13;12;1;9;1.286
10;10;Beveren;7;3;0;4;7;11;-4;9;1.286
10;11;St. Truiden;7;2;2;3;12;12;0;8;1.143
10;12;Lommel SK;7;2;2;3;6;8;-2;8;1.143
10;13;Anversa;7;2;1;4;11;15;-4;7;1.0
10;14;RAAL La Louviere;7;1;1;5;7;14;-7;4;0.571
10;15;Leuven;7;1;1;5;5;13;-8;4;0.571
10;16;Cercle Brugge;7;0;3;4;8;14;-6;3;0.429
10;17;KV Mechelen;7;0;3;4;5;14;-9;3;0.429
10;18;Kortrijk;7;1;0;6;2;15;-13;3;0.429
