Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
17;1;Always Ready;12;9;2;1;28;6;22;29;2.417
17;2;The Strongest;13;7;6;0;20;12;8;27;2.077
17;3;Bolivar;13;7;3;3;28;13;15;24;1.846
17;4;Aurora;13;5;7;1;21;15;6;22;1.692
17;5;Academia del Balompie;13;6;1;6;26;27;-1;19;1.462
17;6;Real Potosi;13;4;5;4;18;12;6;17;1.308
17;7;Blooming;12;4;5;3;17;14;3;17;1.417
17;8;Oriente Petrolero;13;5;2;6;17;18;-1;17;1.308
17;9;Independiente;13;4;4;5;19;20;-1;16;1.231
17;10;Nacional Potosi;13;4;3;6;19;19;0;15;1.154
17;11;Guabira;13;4;3;6;21;29;-8;15;1.154
17;12;SA Bulo Bulo;13;4;2;7;15;23;-8;14;1.077
17;13;Real Oruro;13;4;2;7;23;34;-11;14;1.077
17;14;GV San Jose;13;2;6;5;12;18;-6;12;0.923
17;15;Tomayapo;13;3;3;7;12;28;-16;12;0.923
17;16;Universitario de Vinto;13;3;2;8;17;25;-8;11;0.846
