Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
7;1;Laktasi;6;6;0;0;18;3;15;18;3.0
7;2;Leotar;6;5;1;0;15;3;12;16;2.667
7;3;Majevica;6;3;2;1;11;4;7;11;1.833
7;4;Drina Zvornik;5;2;2;1;14;4;10;8;1.6
7;5;Kozara;5;2;2;1;5;4;1;8;1.6
7;6;Prijedor;6;2;2;2;8;10;-2;8;1.333
7;7;Potkozarje;5;2;1;2;5;7;-2;7;1.4
7;8;Famos Vojkovici;5;2;0;3;6;8;-2;6;1.2
7;9;Romanija Pale;5;2;0;3;7;12;-5;6;1.2
7;10;Omarska;5;1;1;3;4;6;-2;4;0.8
7;11;Slavija;5;1;1;3;5;11;-6;4;0.8
7;12;Sutjeska Foca;6;1;1;4;3;9;-6;4;0.667
7;13;Nevesinje;5;1;1;3;3;12;-9;4;0.8
7;14;Zvijezda 09;6;1;0;5;5;16;-11;3;0.5
