Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Croatia Zmijavci;4;3;1;0;7;2;5;10;2.5
4;2;Mladost Zdralovi;4;2;2;0;4;2;2;8;2.0
4;3;Bijelo Brdo;4;2;1;1;3;2;1;7;1.75
4;4;Karlovac;4;2;1;1;7;7;0;7;1.75
4;5;Sesvete;4;2;0;2;6;3;3;6;1.5
4;6;Din. Zagabria 2;4;2;0;2;7;6;1;6;1.5
4;7;Dugopolje;4;1;3;0;5;4;1;6;1.5
4;8;Cibalia;4;1;3;0;4;3;1;6;1.5
4;9;Jadran LP;4;1;2;1;7;5;2;5;1.25
4;10;Orijent;4;1;2;1;5;4;1;5;1.25
4;11;Vukovar 1991;4;1;2;1;6;8;-2;5;1.25
4;12;Dubrava;4;1;1;2;5;6;-1;4;1.0
4;13;Opatija;4;1;1;2;5;6;-1;4;1.0
4;14;Segesta;4;1;1;2;3;5;-2;4;1.0
4;15;Kustosija;4;0;2;2;2;4;-2;2;0.5
4;16;Hrvace;4;0;0;4;2;11;-9;0;0.0
