Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Slavia Praga;2;2;0;0;9;1;8;6;3.0
2;2;Jablonec;2;2;0;0;4;1;3;6;3.0
2;3;Teplice;2;2;0;0;4;1;3;6;3.0
2;4;Mlada Boleslav;2;1;1;0;6;4;2;4;2.0
2;5;Brno;2;1;1;0;4;2;2;4;2.0
2;6;Hradec Kralove;2;1;1;0;2;1;1;4;2.0
2;7;Liberec;2;1;0;1;3;2;1;3;1.5
2;8;Sparta Praga;2;1;0;1;4;4;0;3;1.5
2;9;Ostrava;2;1;0;1;1;4;-3;3;1.5
2;10;Sigma Olomouc;2;0;1;1;3;4;-1;1;0.5
2;11;Artis Brno;2;0;1;1;3;5;-2;1;0.5
2;12;Plzen;2;0;1;1;2;4;-2;1;0.5
2;13;Bohemians;2;0;1;1;1;3;-2;1;0.5
2;14;Slovacko;2;0;1;1;2;6;-4;1;0.5
2;15;Pardubice;2;0;0;2;1;4;-3;0;0.0
2;16;Zlin;2;0;0;2;1;4;-3;0;0.0
