Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Ceske Budejovice;4;4;0;0;14;2;12;12;3.0
5;2;Loko Praha;5;3;2;0;21;9;12;11;2.2
5;3;Kraluv Dvur;5;3;1;1;11;6;5;10;2.0
5;4;Plzen B;5;3;1;1;10;7;3;10;2.0
5;5;Motorlet Prague;4;3;0;1;9;1;8;9;2.25
5;6;Domazlice;4;2;1;1;5;5;0;7;1.75
5;7;Admira Prague;5;2;0;3;5;10;-5;6;1.2
5;8;Sparta Praga B;4;1;2;1;6;3;3;5;1.25
5;9;Benesov;4;1;2;1;5;4;1;5;1.25
5;10;Pisek;5;1;2;2;7;8;-1;5;1.0
5;11;Slavia Praga U20;5;1;2;2;5;7;-2;5;1.0
5;12;Bohemians 1905 B;5;1;1;3;5;14;-9;4;0.8
5;13;Dukla Praga B;3;1;0;2;3;5;-2;3;1.0
5;14;Pribram B;5;1;0;4;8;13;-5;3;0.6
5;15;Povltavska FA;4;0;2;2;1;6;-5;2;0.5
5;16;Aritma Prague;5;0;2;3;5;20;-15;2;0.4
