Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Zapy;1;1;0;0;6;0;6;3;3.0
1;2;Mlada Boleslav B;1;1;0;0;6;1;5;3;3.0
1;3;Banik Most-Sous;1;1;0;0;5;0;5;3;3.0
1;4;Jablonec B;1;1;0;0;2;0;2;3;3.0
1;5;Hradec Kralove B;1;1;0;0;2;1;1;3;3.0
1;6;Liberec B;1;1;0;0;2;1;1;3;3.0
1;7;Varnsdorf;1;1;0;0;1;0;1;3;3.0
1;8;Brozany;1;0;1;0;0;0;0;1;1.0
1;9;Caslav;1;0;1;0;0;0;0;1;1.0
1;10;Pardubice B;1;0;0;1;1;2;-1;0;0.0
1;11;Velke Hamry;1;0;0;1;1;2;-1;0;0.0
1;12;Benatky;1;0;0;1;0;1;-1;0;0.0
1;13;Horni Redice;1;0;0;1;0;2;-2;0;0.0
1;14;Chrudim;1;0;0;1;1;6;-5;0;0.0
1;15;Teplice B;1;0;0;1;0;5;-5;0;0.0
1;16;Neratovice;1;0;0;1;0;6;-6;0;0.0
