Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Spartak Pribram;2;2;0;0;7;3;4;6;3.0
2;2;Doubravka;2;1;1;0;3;1;2;4;2.0
2;3;Horovice;2;1;1;0;4;3;1;4;2.0
2;4;Hluboka nad Vltavou;2;1;1;0;3;2;1;4;2.0
2;5;Rokycany;2;1;1;0;2;1;1;4;2.0
2;6;Sobeslav;2;1;0;1;6;3;3;3;1.5
2;7;Petrin Plzen;2;1;0;1;1;1;0;3;1.5
2;8;Krimice;2;1;0;1;3;4;-1;3;1.5
2;9;FK Komarov;1;0;1;0;1;1;0;1;1.0
2;10;Taborsko akademie;1;0;1;0;1;1;0;1;1.0
2;11;Milevsko;1;0;0;1;1;2;-1;0;0.0
2;12;Domazlice B;1;0;0;1;0;1;-1;0;0.0
2;13;Nyrsko;1;0;0;1;2;4;-2;0;0.0
2;14;SK Strakonice 1908;2;0;0;2;2;5;-3;0;0.0
2;15;Cesky Krumlov;1;0;0;1;1;5;-4;0;0.0
