Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Kosmonosy;5;4;1;0;16;5;11;13;2.6
5;2;Prepere;5;4;0;1;18;8;10;12;2.4
5;3;Vysoke Myto;5;3;2;0;14;8;6;11;2.2
5;4;Usti nad Orlici;5;3;1;1;15;7;8;10;2.0
5;5;Hlinsko;5;3;1;1;13;6;7;10;2.0
5;6;Vykan;4;3;0;1;14;6;8;9;2.25
5;7;Slavia HK;4;2;1;1;9;7;2;7;1.75
5;8;Trutnov;5;2;1;2;10;9;1;7;1.4
5;9;Dvur Kralove;5;2;1;2;8;8;0;7;1.4
5;10;Kolin;5;1;3;1;7;9;-2;6;1.2
5;11;Police nad Metuji;5;2;0;3;6;9;-3;6;1.2
5;12;Turnov;5;1;1;3;8;10;-2;4;0.8
5;13;Chlumec nad Cidlinou;5;1;1;3;5;10;-5;4;0.8
5;14;Svitavy;5;1;0;4;5;14;-9;3;0.6
5;15;Chrudim B;5;0;1;4;7;24;-17;1;0.2
5;16;Letohrad;5;0;0;5;5;20;-15;0;0.0
