Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Bohunice;6;4;2;0;17;5;12;14;2.333
6;2;Znojmo;5;3;2;0;12;3;9;11;2.2
6;3;Velka Bites;6;3;2;1;6;6;0;11;1.833
6;4;Kurim;6;3;1;2;14;8;6;10;1.667
6;5;Havlickuv Brod;6;3;1;2;11;7;4;10;1.667
6;6;Tasovice;5;2;3;0;10;5;5;9;1.8
6;7;Zdar nad Sazavou;5;2;2;1;11;7;4;8;1.6
6;8;Sparta Brno;6;2;1;3;6;9;-3;7;1.167
6;9;Bystrc;5;1;3;1;7;6;1;6;1.2
6;10;Velke Mezirici;5;1;3;1;8;9;-1;6;1.2
6;11;FS Trebic;5;2;0;3;5;13;-8;6;1.2
6;12;Pelhrimov;5;1;2;2;6;8;-2;5;1.0
6;13;Chotebor;6;1;2;3;5;14;-9;5;0.833
6;14;Zdirec n. D.;5;0;2;3;6;10;-4;2;0.4
6;15;Humpolec;5;0;2;3;3;7;-4;2;0.4
6;16;Bedrichov;5;0;2;3;4;14;-10;2;0.4
