Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;FK Kozlovice;6;5;1;0;16;6;10;16;2.667
6;2;Vsechovice;5;5;0;0;17;3;14;15;3.0
6;3;Strani;5;4;1;0;19;5;14;13;2.6
6;4;SK Krumvir;5;4;0;1;11;6;5;12;2.4
6;5;Breclav;5;3;1;1;11;6;5;10;2.0
6;6;Hluk;5;2;2;1;15;8;7;8;1.6
6;7;Holesov;5;2;2;1;11;7;4;8;1.6
6;8;Prostejov B;5;2;2;1;12;11;1;8;1.6
6;9;Sternberk;5;2;1;2;12;6;6;7;1.4
6;10;Slavicin;5;2;0;3;9;11;-2;6;1.2
6;11;Lanzhot;5;2;0;3;8;10;-2;6;1.2
6;12;Brumov;5;1;1;3;10;17;-7;4;0.8
6;13;Bzenec-Vracov;5;1;0;4;8;18;-10;3;0.6
6;14;Kromeriz B;5;0;1;4;3;11;-8;1;0.2
6;15;Batov;6;0;0;6;4;18;-14;0;0.0
6;16;Nove Sady;5;0;0;5;3;26;-23;0;0.0
