Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Bohumin;4;4;0;0;15;3;12;12;3.0
4;2;Kravare;4;4;0;0;15;4;11;12;3.0
4;3;Vratimov;4;3;0;1;9;4;5;9;2.25
4;4;Rymarov;4;2;1;1;9;5;4;7;1.75
4;5;Opava B;4;2;1;1;9;7;2;7;1.75
4;6;Sumperk;4;2;1;1;8;6;2;7;1.75
4;7;Zabreh;4;2;1;1;6;4;2;7;1.75
4;8;Novy Jicin;4;2;1;1;6;7;-1;7;1.75
4;9;Hlucin;3;2;0;1;4;4;0;6;2.0
4;10;Stonava;4;1;1;2;7;7;0;4;1.0
4;11;Pusta Polom;4;1;1;2;7;9;-2;4;1.0
4;12;Bridlicna;3;1;0;2;5;7;-2;3;1.0
4;13;Valasske Mezirici;4;0;2;2;4;8;-4;2;0.5
4;14;Bilovec;4;0;1;3;3;11;-8;1;0.25
4;15;Frydek-Mistek B;4;0;0;4;3;11;-8;0;0.0
4;16;Frydlant n. O.;4;0;0;4;3;16;-13;0;0.0
