Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
7;1;Karvina;7;5;0;2;14;7;7;15;2.143
7;2;Usti n. L.;7;4;3;0;12;6;6;15;2.143
7;3;Slavia Praga B;7;3;4;0;17;11;6;13;1.857
7;4;Dukla Praga;7;4;1;2;13;10;3;13;1.857
7;5;Pribram;7;3;4;0;12;9;3;13;1.857
7;6;Taborsko;7;3;3;1;9;5;4;12;1.714
7;7;Jihlava;7;3;1;3;9;6;3;10;1.429
7;8;Vlasim;7;2;3;2;12;10;2;9;1.286
7;9;Ostrava B;7;2;2;3;12;9;3;8;1.143
7;10;Kladno;7;2;2;3;8;9;-1;8;1.143
7;11;Ceska Lipa;7;2;2;3;9;14;-5;8;1.143
7;12;Prostejov;7;1;3;3;9;10;-1;6;0.857
7;13;Opava;7;1;3;3;9;12;-3;6;0.857
7;14;Kromeriz;7;1;2;4;4;14;-10;5;0.714
7;15;Trinec;7;0;4;3;7;12;-5;4;0.571
7;16;Zizkov;7;1;1;5;4;16;-12;4;0.571
