Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
7;1;Nykobing;6;4;2;0;17;8;9;14;2.333
7;2;VSK Aarhus;6;4;1;1;10;2;8;13;2.167
7;3;Middelfart;6;3;2;1;14;7;7;11;1.833
7;4;Roskilde;6;2;4;0;9;7;2;10;1.667
7;5;F. Amager;7;2;4;1;10;10;0;10;1.429
7;6;Naestved;6;2;3;1;7;7;0;9;1.5
7;7;B.93;6;2;2;2;9;9;0;8;1.333
7;8;Skive;6;2;1;3;9;10;-1;7;1.167
7;9;Hellerup;7;2;1;4;7;12;-5;7;1.0
7;10;FA 2000;6;1;2;3;7;11;-4;5;0.833
7;11;Brabrand;6;1;1;4;7;13;-6;4;0.667
7;12;Thisted;6;0;1;5;4;14;-10;1;0.167
