Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
27;1;Narva U21;26;16;3;7;65;34;31;51;1.962
27;2;Levadia U19;26;16;2;8;66;46;20;50;1.923
27;3;Parnu JK Vaprus U21;26;13;4;9;78;50;28;43;1.654
27;4;Johvi Phoenix;26;13;3;10;59;60;-1;42;1.615
27;5;Tartu Kalev;27;13;2;12;65;51;14;41;1.519
27;6;Tammeka U21;25;12;4;9;64;53;11;40;1.6
27;7;Tulevik;25;10;5;10;56;50;6;35;1.4
27;8;Tabasalu;25;10;2;13;36;63;-27;32;1.28
27;9;Tallinna Kalev U21;26;6;5;15;52;65;-13;23;0.885
27;10;Legion;24;3;2;19;22;91;-69;11;0.458
