Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
30;1;Levadia;24;19;5;0;67;17;50;62;2.583
30;2;Flora;26;15;1;10;51;34;17;46;1.769
30;3;Paide;25;13;5;7;41;32;9;44;1.76
30;4;Kalju;26;13;4;9;46;25;21;43;1.654
30;5;Tammeka;25;13;2;10;32;35;-3;41;1.64
30;6;Parnu JK Vaprus;28;11;5;12;40;50;-10;38;1.357
30;7;Harju JK Laagri;27;10;1;16;38;46;-8;31;1.148
30;8;Kuressaare;27;8;4;15;30;46;-16;28;1.037
30;9;Nomme Utd;27;9;1;17;44;62;-18;28;1.037
30;10;Narva;27;5;3;19;21;62;-41;18;0.667
30;11;FC Kuressaare;2;0;1;1;2;3;-1;1;0.5
