Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Fuglafjordur;1;1;0;0;4;0;4;3;3.0
1;2;Vikingur 2;1;1;0;0;4;1;3;3;3.0
1;3;Runavik 2;1;0;1;0;1;1;0;1;1.0
1;4;TB Tvoroyri;1;0;1;0;1;1;0;1;1.0
1;5;Hoyvik;1;0;0;1;1;4;-3;0;0.0
1;6;HB Torshavn 2;1;0;0;1;0;4;-4;0;0.0
2;1;Vikingur 2;2;2;0;0;7;3;4;6;3.0
2;2;TB Tvoroyri;2;1;1;0;4;3;1;4;2.0
2;3;Fuglafjordur;1;1;0;0;4;0;4;3;3.0
2;4;Hoyvik;2;1;0;1;5;7;-2;3;1.5
2;5;B36 Torshavn 2;1;0;1;0;1;1;0;1;1.0
2;6;Runavik 2;2;0;1;1;4;5;-1;1;0.5
2;7;HB Torshavn 2;2;0;1;1;1;5;-4;1;0.5
2;8;Sandur;1;0;0;1;2;3;-1;0;0.0
2;9;Streymur 2;1;0;0;1;2;3;-1;0;0.0
3;1;TB Tvoroyri;3;2;1;0;9;5;4;7;2.333
3;2;Vikingur 2;3;2;1;0;9;5;4;7;2.333
3;3;Streymur 2;2;1;0;1;8;3;5;3;1.5
3;4;Fuglafjordur;2;1;0;1;4;6;-2;3;1.5
3;5;Hoyvik;3;1;0;2;7;12;-5;3;1.0
3;6;Runavik 2;3;0;2;1;5;6;-1;2;0.667
3;7;HB Torshavn 2;3;0;2;1;2;6;-4;2;0.667
3;8;FC Suduroy;1;0;1;0;2;2;0;1;1.0
3;9;B36 Torshavn 2;1;0;1;0;1;1;0;1;1.0
3;10;Sandur;1;0;0;1;2;3;-1;0;0.0
4;1;Vikingur 2;4;3;1;0;12;5;7;10;2.5
4;2;TB Tvoroyri;4;2;1;1;10;7;3;7;1.75
4;3;HB Torshavn 2;4;1;2;1;4;7;-3;5;1.25
4;4;FC Suduroy;2;1;1;0;4;3;1;4;2.0
4;5;Streymur 2;3;1;0;2;9;6;3;3;1.0
4;6;Sandur;2;1;0;1;5;4;1;3;1.5
4;7;Fuglafjordur;2;1;0;1;4;6;-2;3;1.5
4;8;Hoyvik;3;1;0;2;7;12;-5;3;1.0
4;9;Runavik 2;4;0;2;2;6;8;-2;2;0.5
4;10;B36 Torshavn 2;2;0;1;1;1;4;-3;1;0.5
5;1;Vikingur 2;5;3;2;0;14;7;7;11;2.2
5;2;TB Tvoroyri;5;2;1;2;10;8;2;7;1.4
5;3;FC Suduroy;3;2;1;0;6;4;2;7;2.333
5;4;HB Torshavn 2;5;1;2;2;5;9;-4;5;1.0
5;5;Fuglafjordur;3;1;1;1;6;8;-2;4;1.333
5;6;B36 Torshavn 2;3;1;1;1;2;4;-2;4;1.333
5;7;Streymur 2;3;1;0;2;9;6;3;3;1.0
5;8;Sandur;2;1;0;1;5;4;1;3;1.5
5;9;Hoyvik;3;1;0;2;7;12;-5;3;1.0
5;10;Runavik 2;4;0;2;2;6;8;-2;2;0.5
6;1;Vikingur 2;6;3;2;1;14;9;5;11;1.833
6;2;TB Tvoroyri;6;3;1;2;12;8;4;10;1.667
6;3;FC Suduroy;3;2;1;0;6;4;2;7;2.333
6;4;Sandur;3;2;0;1;7;5;2;6;2.0
6;5;B36 Torshavn 2;4;1;2;1;5;7;-2;5;1.25
6;6;HB Torshavn 2;6;1;2;3;6;11;-5;5;0.833
6;7;Fuglafjordur;3;1;1;1;6;8;-2;4;1.333
6;8;Hoyvik;4;1;1;2;10;15;-5;4;1.0
6;9;Streymur 2;3;1;0;2;9;6;3;3;1.0
6;10;Runavik 2;4;0;2;2;6;8;-2;2;0.5
7;1;Vikingur 2;7;4;2;1;18;10;8;14;2.0
7;2;TB Tvoroyri;7;3;2;2;13;9;4;11;1.571
7;3;FC Suduroy;4;3;1;0;13;6;7;10;2.5
7;4;Sandur;4;3;0;1;8;5;3;9;2.25
7;5;HB Torshavn 2;7;2;2;3;10;11;-1;8;1.143
7;6;Fuglafjordur;4;1;2;1;7;9;-2;5;1.25
7;7;B36 Torshavn 2;5;1;2;2;7;14;-7;5;1.0
7;8;Hoyvik;5;1;1;3;10;19;-9;4;0.8
7;9;Streymur 2;4;1;0;3;10;10;0;3;0.75
7;10;Runavik 2;5;0;2;3;6;9;-3;2;0.4
8;1;Vikingur 2;8;5;2;1;20;11;9;17;2.125
8;2;FC Suduroy;5;4;1;0;19;8;11;13;2.6
8;3;Sandur;5;4;0;1;12;5;7;12;2.4
8;4;TB Tvoroyri;8;3;2;3;13;13;0;11;1.375
8;5;HB Torshavn 2;7;2;2;3;10;11;-1;8;1.143
8;6;Fuglafjordur;4;1;2;1;7;9;-2;5;1.25
8;7;B36 Torshavn 2;5;1;2;2;7;14;-7;5;1.0
8;8;Hoyvik;6;1;1;4;12;25;-13;4;0.667
8;9;Streymur 2;4;1;0;3;10;10;0;3;0.75
8;10;Runavik 2;6;0;2;4;7;11;-4;2;0.333
9;1;Vikingur 2;9;6;2;1;21;11;10;20;2.222
9;2;FC Suduroy;6;5;1;0;23;9;14;16;2.667
9;3;Sandur;5;4;0;1;12;5;7;12;2.4
9;4;TB Tvoroyri;9;3;2;4;14;17;-3;11;1.222
9;5;HB Torshavn 2;8;2;2;4;10;12;-2;8;1.0
9;6;Fuglafjordur;4;1;2;1;7;9;-2;5;1.25
9;7;B36 Torshavn 2;5;1;2;2;7;14;-7;5;1.0
9;8;Hoyvik;6;1;1;4;12;25;-13;4;0.667
9;9;Streymur 2;4;1;0;3;10;10;0;3;0.75
9;10;Runavik 2;6;0;2;4;7;11;-4;2;0.333
10;1;Vikingur 2;10;6;3;1;23;13;10;21;2.1
10;2;FC Suduroy;7;5;1;1;24;13;11;16;2.286
10;3;Sandur;6;5;0;1;17;6;11;15;2.5
10;4;TB Tvoroyri;10;3;3;4;16;19;-3;12;1.2
10;5;Fuglafjordur;5;2;2;1;11;10;1;8;1.6
10;6;HB Torshavn 2;9;2;2;5;10;14;-4;8;0.889
10;7;Streymur 2;5;2;0;3;12;11;1;6;1.2
10;8;Runavik 2;7;1;2;4;9;11;-2;5;0.714
10;9;B36 Torshavn 2;6;1;2;3;8;16;-8;5;0.833
10;10;Hoyvik;7;1;1;5;13;30;-17;4;0.571
11;1;Vikingur 2;11;7;3;1;26;13;13;24;2.182
11;2;Sandur;7;6;0;1;18;6;12;18;2.571
11;3;FC Suduroy;8;5;1;2;24;14;10;16;2.0
11;4;TB Tvoroyri;11;4;3;4;19;20;-1;15;1.364
11;5;Fuglafjordur;6;2;3;1;12;11;1;9;1.5
11;6;HB Torshavn 2;10;2;3;5;11;15;-4;9;0.9
11;7;Runavik 2;8;2;2;4;11;12;-1;8;1.0
11;8;Streymur 2;6;2;0;4;13;13;0;6;1.0
11;9;B36 Torshavn 2;7;1;2;4;8;19;-11;5;0.714
11;10;Hoyvik;8;1;1;6;14;33;-19;4;0.5
12;1;Vikingur 2;12;8;3;1;29;15;14;27;2.25
12;2;Sandur;8;7;0;1;20;7;13;21;2.625
12;3;FC Suduroy;9;5;1;3;26;17;9;16;1.778
12;4;TB Tvoroyri;12;4;3;5;19;23;-4;15;1.25
12;5;Runavik 2;9;3;2;4;14;12;2;11;1.222
12;6;HB Torshavn 2;11;2;4;5;12;16;-4;10;0.909
12;7;Fuglafjordur;7;2;3;2;13;13;0;9;1.286
12;8;B36 Torshavn 2;8;2;2;4;11;19;-8;8;1.0
12;9;Streymur 2;7;2;1;4;14;14;0;7;1.0
12;10;Hoyvik;9;1;1;7;14;36;-22;4;0.444
13;1;Vikingur 2;13;8;3;2;29;20;9;27;2.077
13;2;Sandur;9;8;0;1;25;7;18;24;2.667
13;3;FC Suduroy;10;5;1;4;26;19;7;16;1.6
13;4;TB Tvoroyri;13;4;3;6;20;25;-5;15;1.154
13;5;Runavik 2;10;4;2;4;16;13;3;14;1.4
13;6;HB Torshavn 2;12;3;4;5;14;16;-2;13;1.083
13;7;Fuglafjordur;8;3;3;2;17;13;4;12;1.5
13;8;B36 Torshavn 2;9;2;2;5;11;23;-12;8;0.889
13;9;Streymur 2;8;2;1;5;14;18;-4;7;0.875
13;10;Hoyvik;10;2;1;7;18;36;-18;7;0.7
14;1;Vikingur 2;14;9;3;2;35;21;14;30;2.143
14;2;Sandur;10;9;0;1;27;8;19;27;2.7
14;3;FC Suduroy;11;5;2;4;28;21;7;17;1.545
14;4;TB Tvoroyri;14;4;4;6;22;27;-5;16;1.143
14;5;Runavik 2;11;4;3;4;17;14;3;15;1.364
14;6;Fuglafjordur;9;3;4;2;18;14;4;13;1.444
14;7;HB Torshavn 2;13;3;4;6;14;17;-3;13;1.0
14;8;Hoyvik;11;3;1;7;19;36;-17;10;0.909
14;9;B36 Torshavn 2;10;2;2;6;12;25;-13;8;0.8
14;10;Streymur 2;9;2;1;6;15;24;-9;7;0.778
15;1;Vikingur 2;15;10;3;2;38;22;16;33;2.2
15;2;Sandur;10;9;0;1;27;8;19;27;2.7
15;3;FC Suduroy;12;6;2;4;30;21;9;20;1.667
15;4;Fuglafjordur;10;4;4;2;20;15;5;16;1.6
15;5;TB Tvoroyri;14;4;4;6;22;27;-5;16;1.143
15;6;Runavik 2;12;4;3;5;17;15;2;15;1.25
15;7;HB Torshavn 2;14;3;4;7;15;20;-5;13;0.929
15;8;B36 Torshavn 2;11;3;2;6;13;25;-12;11;1.0
15;9;Hoyvik;12;3;1;8;20;38;-18;10;0.833
15;10;Streymur 2;10;2;1;7;15;26;-11;7;0.7
