Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
26;1;Runavik;22;13;6;3;45;25;20;45;2.045
26;2;Klaksvik;22;12;8;2;43;19;24;44;2.0
26;3;HB Torshavn;21;11;5;5;39;24;15;38;1.81
26;4;B36 Torshavn;22;9;8;5;32;26;6;35;1.591
26;5;Vikingur;22;8;10;4;31;24;7;34;1.545
26;6;Argir;22;7;3;12;30;38;-8;24;1.091
26;7;Streymur;22;6;5;11;27;36;-9;23;1.045
26;8;Skala Itrottarfelag;22;5;7;10;23;35;-12;22;1.0
26;9;07 Vestur Sorvagur;22;5;3;14;18;38;-20;18;0.818
26;10;Toftir;21;3;5;13;19;42;-23;14;0.667
