Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;HIFK;1;1;0;0;3;0;3;3;3.0
1;2;HPS;1;1;0;0;2;0;2;3;3.0
1;3;Kiffen;1;1;0;0;3;2;1;3;3.0
1;4;Atlantis;1;1;0;0;2;1;1;3;3.0
1;5;PEPO;1;0;1;0;2;2;0;1;1.0
1;6;PPJ;1;0;1;0;2;2;0;1;1.0
1;7;Lahden Reipas;1;0;0;1;2;3;-1;0;0.0
1;8;MyPa;1;0;0;1;1;2;-1;0;0.0
1;9;PuiU;1;0;0;1;0;2;-2;0;0.0
1;10;Union Plaani;1;0;0;1;0;3;-3;0;0.0
2;1;HIFK;2;2;0;0;5;1;4;6;3.0
2;2;Kiffen;2;2;0;0;5;3;2;6;3.0
2;3;Atlantis;2;1;1;0;5;4;1;4;2.0
2;4;Lahden Reipas;2;1;0;1;6;5;1;3;1.5
2;5;HPS;2;1;0;1;3;2;1;3;1.5
2;6;PPJ;2;0;2;0;5;5;0;2;1.0
2;7;PEPO;2;0;1;1;3;4;-1;1;0.5
2;8;MyPa;2;0;1;1;2;3;-1;1;0.5
2;9;PuiU;2;0;1;1;1;3;-2;1;0.5
2;10;Union Plaani;2;0;0;2;2;7;-5;0;0.0
3;1;Kiffen;3;3;0;0;7;3;4;9;3.0
3;2;Atlantis;3;2;1;0;8;6;2;7;2.333
3;3;HIFK;3;2;0;1;7;4;3;6;2.0
3;4;HPS;3;2;0;1;5;2;3;6;2.0
3;5;PPJ;3;1;2;0;8;6;2;5;1.667
3;6;PEPO;3;1;1;1;5;5;0;4;1.333
3;7;Lahden Reipas;3;1;0;2;7;7;0;3;1.0
3;8;MyPa;3;0;1;2;3;6;-3;1;0.333
3;9;PuiU;3;0;1;2;1;5;-4;1;0.333
3;10;Union Plaani;3;0;0;3;2;9;-7;0;0.0
4;1;Kiffen;4;4;0;0;9;3;6;12;3.0
4;2;HIFK;4;3;0;1;9;4;5;9;2.25
4;3;HPS;4;2;1;1;7;4;3;7;1.75
4;4;Atlantis;4;2;1;1;8;7;1;7;1.75
4;5;PPJ;4;1;3;0;10;8;2;6;1.5
4;6;Lahden Reipas;4;2;0;2;8;7;1;6;1.5
4;7;PEPO;4;1;2;1;5;5;0;5;1.25
4;8;MyPa;4;0;2;2;3;6;-3;2;0.5
4;9;PuiU;4;0;1;3;1;7;-6;1;0.25
4;10;Union Plaani;4;0;0;4;2;11;-9;0;0.0
5;1;Kiffen;5;5;0;0;12;4;8;15;3.0
5;2;Atlantis;5;3;1;1;16;7;9;10;2.0
5;3;HPS;5;3;1;1;9;4;5;10;2.0
5;4;PPJ;5;2;3;0;13;8;5;9;1.8
5;5;HIFK;5;3;0;2;9;6;3;9;1.8
5;6;PEPO;5;1;3;1;6;6;0;6;1.2
5;7;Lahden Reipas;5;2;0;3;8;10;-2;6;1.2
5;8;MyPa;5;0;2;3;4;9;-5;2;0.4
5;9;Union Plaani;5;0;1;4;3;12;-9;1;0.2
5;10;PuiU;5;0;1;4;1;15;-14;1;0.2
6;1;Kiffen;6;5;1;0;15;7;8;16;2.667
6;2;HPS;6;4;1;1;13;7;6;13;2.167
6;3;Atlantis;6;3;1;2;19;11;8;10;1.667
6;4;PPJ;6;2;4;0;15;10;5;10;1.667
6;5;HIFK;6;3;1;2;12;9;3;10;1.667
6;6;Lahden Reipas;6;3;0;3;13;10;3;9;1.5
6;7;PEPO;6;2;3;1;8;7;1;9;1.5
6;8;Union Plaani;6;0;2;4;5;14;-9;2;0.333
6;9;MyPa;6;0;2;4;4;14;-10;2;0.333
6;10;PuiU;6;0;1;5;2;17;-15;1;0.167
7;1;HPS;7;5;1;1;16;8;8;16;2.286
7;2;Kiffen;7;5;1;1;16;9;7;16;2.286
7;3;Atlantis;7;4;1;2;24;12;12;13;1.857
7;4;Lahden Reipas;7;4;0;3;16;11;5;12;1.714
7;5;PEPO;7;3;3;1;10;8;2;12;1.714
7;6;PPJ;7;2;5;0;16;11;5;11;1.571
7;7;HIFK;7;3;2;2;13;10;3;11;1.571
7;8;MyPa;7;0;2;5;5;17;-12;2;0.286
7;9;Union Plaani;7;0;2;5;6;19;-13;2;0.286
7;10;PuiU;7;0;1;6;3;20;-17;1;0.143
8;1;Kiffen;8;6;1;1;20;10;10;19;2.375
8;2;HPS;8;5;1;2;17;10;7;16;2.0
8;3;PEPO;8;4;3;1;12;9;3;15;1.875
8;4;HIFK;8;4;2;2;15;11;4;14;1.75
8;5;Atlantis;8;4;1;3;25;16;9;13;1.625
8;6;PPJ;8;2;6;0;16;11;5;12;1.5
8;7;Lahden Reipas;8;4;0;4;17;13;4;12;1.5
8;8;MyPa;8;1;2;5;8;18;-10;5;0.625
8;9;Union Plaani;8;0;2;6;7;22;-15;2;0.25
8;10;PuiU;8;0;2;6;3;20;-17;2;0.25
9;1;Kiffen;9;6;1;2;20;14;6;19;2.111
9;2;PEPO;9;5;3;1;16;10;6;18;2.0
9;3;HPS;9;5;2;2;19;12;7;17;1.889
