Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
15;1;PeKa;14;11;2;1;46;18;28;35;2.5
15;2;Kultsu;14;10;2;2;42;16;26;32;2.286
15;3;Edustus IPS;14;9;3;2;32;20;12;30;2.143
15;4;MiPK;14;8;2;4;40;20;20;26;1.857
15;5;KoPa;14;7;2;5;24;26;-2;23;1.643
15;6;KJP;13;6;1;6;22;16;6;19;1.462
15;7;HAPK;12;6;1;5;26;24;2;19;1.583
15;8;LAUTP;14;5;2;7;27;33;-6;17;1.214
15;9;Mikkelin Palloilijat II;11;4;0;7;23;22;1;12;1.091
15;10;STPS;14;2;2;10;15;31;-16;8;0.571
15;11;Kumu;14;2;2;10;18;49;-31;8;0.571
15;12;Mikkelin Palloilijat 2;3;2;0;1;5;6;-1;6;2.0
15;13;LAUTP/2;14;1;1;12;6;44;-38;4;0.286
15;14;HaPK;2;1;0;1;6;6;0;3;1.5
15;15;Kouvolan Jalkapallo;1;0;0;1;2;3;-1;0;0.0
