Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;MPS;20;12;3;5;44;33;11;39;1.95
22;2;ToTe;19;10;5;4;41;23;18;35;1.842
22;3;TiPS;20;11;2;7;45;41;4;35;1.75
22;4;PPJ/Lauttasaari;20;9;7;4;54;26;28;34;1.7
22;5;Laajasalon Palloseura;18;10;3;5;51;34;17;33;1.833
22;6;VJS 2;19;8;3;8;59;35;24;27;1.421
22;7;Valtti;20;8;3;9;42;46;-4;27;1.35
22;8;Atlantis FC/2;20;8;2;10;49;73;-24;26;1.3
22;9;Töölön Taisto;20;5;8;7;41;44;-3;23;1.15
22;10;HPS/2;20;6;5;9;47;51;-4;23;1.15
22;11;Kontu;20;4;6;10;33;49;-16;18;0.9
22;12;PPS;20;2;3;15;25;76;-51;9;0.45
