Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
23;1;FC Lasten;21;18;3;0;87;23;64;57;2.714
23;2;TPV/2;22;16;3;3;69;33;36;51;2.318
23;3;Tampere Utd/2;20;14;3;3;57;19;38;45;2.25
23;4;NoPS;21;13;4;4;69;28;41;43;2.048
23;5;FC LeKi;20;8;4;8;45;41;4;28;1.4
23;6;TP-T;19;8;2;9;45;37;8;26;1.368
23;7;Sääksjärven Loiske;21;7;3;11;30;46;-16;24;1.143
23;8;Ylöjärvi Utd.;21;7;2;12;40;50;-10;23;1.095
23;9;FC Haka j.;20;7;2;11;41;58;-17;23;1.15
23;10;Fish United;21;4;4;13;30;69;-39;16;0.762
23;11;ACE;20;3;3;14;37;58;-21;12;0.6
23;12;TP-49;20;1;1;18;21;109;-88;4;0.2
