Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
24;1;KuPS;22;12;7;3;38;23;15;43;1.955
24;2;Inter Turku;22;11;9;2;29;16;13;42;1.909
24;3;HJK;22;11;4;7;36;27;9;37;1.682
24;4;Gnistan;22;10;6;6;36;29;7;36;1.636
24;5;Oulu;22;10;4;8;26;26;0;34;1.545
24;6;VPS;22;9;6;7;30;23;7;33;1.5
24;7;Lahti;23;9;6;8;27;20;7;33;1.435
24;8;TPS Turku;22;8;7;7;28;23;5;31;1.409
24;9;Ilves;22;7;4;11;34;37;-3;25;1.136
24;10;SJK;23;5;7;11;27;34;-7;22;0.957
24;11;Jaro;23;3;7;13;19;45;-26;16;0.696
24;12;Mariehamn;23;3;5;15;18;45;-27;14;0.609
