Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;1;Tampere Utd;16;11;2;3;31;11;20;35;2.188
18;2;Rovaniemi;16;9;5;2;35;16;19;32;2.0
18;3;SalPa;16;7;5;4;31;26;5;26;1.625
18;4;JJK Jyvaskyla;17;7;4;6;40;33;7;25;1.471
18;5;Keski-Uusimaa;16;7;4;5;29;22;7;25;1.562
18;6;VJS;15;6;5;4;28;20;8;23;1.533
18;7;OLS Oulu;16;6;5;5;30;23;7;23;1.438
18;8;Jazz Pori;16;7;2;7;22;23;-1;23;1.438
18;9;TPV;16;4;4;8;19;29;-10;16;1.0
18;10;Inter Turku 2;16;4;4;8;28;43;-15;16;1.0
18;11;KuPS Akatemia;15;2;3;10;25;37;-12;9;0.6
18;12;KPV;15;2;3;10;13;48;-35;9;0.6
18;13;Kormakur/Hvot;1;1;0;0;4;0;4;3;3.0
18;14;Dalvik/Reynir;1;1;0;0;1;0;1;3;3.0
18;15;Olafsvik;1;1;0;0;1;0;1;3;3.0
18;16;Grotta;1;0;1;0;2;2;0;1;1.0
18;17;Volsungur;1;0;1;0;2;2;0;1;1.0
18;18;Kari;1;0;1;0;1;1;0;1;1.0
18;19;Magni;1;0;1;0;1;1;0;1;1.0
18;20;Throttur;1;0;1;0;1;1;0;1;1.0
18;21;Vestri;1;0;1;0;1;1;0;1;1.0
18;22;KFA;1;0;0;1;0;1;-1;0;0.0
18;23;KFG Gardabaer;1;0;0;1;0;1;-1;0;0.0
18;24;Hviti;1;0;0;1;0;4;-4;0;0.0
