Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Tampere Utd;1;1;0;0;4;0;4;3;3.0
1;2;JJK Jyvaskyla;1;1;0;0;5;3;2;3;3.0
1;3;OLS Oulu;1;1;0;0;4;2;2;3;3.0
1;4;TPV;1;1;0;0;3;1;2;3;3.0
1;5;KPV;1;0;1;0;2;2;0;1;1.0
1;6;Keski-Uusimaa;1;0;1;0;2;2;0;1;1.0
1;7;Rovaniemi;1;0;1;0;1;1;0;1;1.0
1;8;SalPa;1;0;1;0;1;1;0;1;1.0
1;9;Inter Turku 2;1;0;0;1;3;5;-2;0;0.0
1;10;KuPS Akatemia;1;0;0;1;2;4;-2;0;0.0
1;11;VJS;1;0;0;1;1;3;-2;0;0.0
1;12;Jazz Pori;1;0;0;1;0;4;-4;0;0.0
2;1;JJK Jyvaskyla;2;2;0;0;7;4;3;6;3.0
2;2;OLS Oulu;2;2;0;0;5;2;3;6;3.0
2;3;Keski-Uusimaa;2;1;1;0;7;3;4;4;2.0
2;4;SalPa;2;1;1;0;3;1;2;4;2.0
2;5;TPV;2;1;1;0;3;1;2;4;2.0
2;6;Rovaniemi;2;1;1;0;4;3;1;4;2.0
2;7;Tampere Utd;2;1;0;1;4;2;2;3;1.5
2;8;KPV;2;0;2;0;2;2;0;2;1.0
2;9;Inter Turku 2;2;0;0;2;5;8;-3;0;0.0
2;10;KuPS Akatemia;2;0;0;2;3;6;-3;0;0.0
2;11;VJS;2;0;0;2;1;4;-3;0;0.0
2;12;Jazz Pori;2;0;0;2;1;9;-8;0;0.0
3;1;JJK Jyvaskyla;3;3;0;0;9;5;4;9;3.0
3;2;OLS Oulu;3;2;1;0;6;3;3;7;2.333
3;3;Rovaniemi;3;2;1;0;6;3;3;7;2.333
3;4;Tampere Utd;3;2;0;1;8;2;6;6;2.0
3;5;SalPa;3;1;2;0;4;2;2;5;1.667
3;6;Keski-Uusimaa;3;1;1;1;7;5;2;4;1.333
3;7;TPV;3;1;1;1;4;3;1;4;1.333
3;8;Jazz Pori;3;1;0;2;3;9;-6;3;1.0
3;9;KPV;3;0;2;1;2;4;-2;2;0.667
3;10;Inter Turku 2;3;0;1;2;6;9;-3;1;0.333
3;11;VJS;3;0;1;2;2;5;-3;1;0.333
3;12;KuPS Akatemia;3;0;0;3;3;10;-7;0;0.0
4;1;JJK Jyvaskyla;4;4;0;0;11;5;6;12;3.0
4;2;Rovaniemi;4;3;1;0;13;3;10;10;2.5
4;3;OLS Oulu;4;3;1;0;8;3;5;10;2.5
4;4;Tampere Utd;4;2;0;2;8;6;2;6;1.5
4;5;SalPa;4;1;2;1;6;5;1;5;1.25
4;6;VJS;4;1;1;2;6;5;1;4;1.0
4;7;Keski-Uusimaa;4;1;1;2;7;7;0;4;1.0
4;8;Inter Turku 2;4;1;1;2;9;11;-2;4;1.0
4;9;TPV;4;1;1;2;4;6;-2;4;1.0
4;10;KuPS Akatemia;4;1;0;3;6;10;-4;3;0.75
4;11;Jazz Pori;4;1;0;3;3;11;-8;3;0.75
4;12;KPV;4;0;2;2;2;11;-9;2;0.5
5;1;OLS Oulu;5;4;1;0;12;3;9;13;2.6
5;2;JJK Jyvaskyla;5;4;1;0;14;8;6;13;2.6
5;3;Rovaniemi;5;3;2;0;16;6;10;11;2.2
5;4;Tampere Utd;5;3;0;2;10;6;4;9;1.8
5;5;Keski-Uusimaa;5;2;1;2;9;7;2;7;1.4
5;6;Jazz Pori;5;2;0;3;5;11;-6;6;1.2
5;7;VJS;5;1;2;2;6;5;1;5;1.0
