Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
3;1;Lilla;3;2;1;0;5;2;3;7;2.333
3;2;Rennes;3;2;1;0;7;5;2;7;2.333
3;3;Strasburgo;2;2;0;0;8;3;5;6;3.0
3;4;Paris FC;2;2;0;0;6;2;4;6;3.0
3;5;Monaco;2;2;0;0;3;0;3;6;3.0
3;6;Brest;2;1;1;0;4;3;1;4;2.0
3;7;Lorient;2;1;0;1;2;2;0;3;1.5
3;8;Angers;3;1;0;2;4;5;-1;3;1.0
3;9;Troyes;2;1;0;1;4;7;-3;3;1.5
3;10;PSG;2;0;2;0;4;4;0;2;1.0
3;11;Lione;1;0;1;0;1;1;0;1;1.0
3;12;Le Mans;2;0;1;1;3;4;-1;1;0.5
3;13;Tolosa;2;0;1;1;2;3;-1;1;0.5
3;14;Le Havre;3;0;1;2;2;4;-2;1;0.333
3;15;Nizza;2;0;1;1;1;4;-3;1;0.5
3;16;Auxerre;1;0;0;1;1;3;-2;0;0.0
3;17;Lens;2;0;0;2;1;3;-2;0;0.0
3;18;Marsiglia;2;0;0;2;2;5;-3;0;0.0
