Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Duisburg;2;2;0;0;7;2;5;6;3.0
2;2;Wurzburger Kickers;2;1;1;0;6;2;4;4;2.0
2;3;Aachen;2;1;1;0;5;2;3;4;2.0
2;4;Munster;2;1;1;0;4;2;2;4;2.0
2;5;Regensburg;1;1;0;0;5;2;3;3;3.0
2;6;Saarbrucken;1;1;0;0;5;2;3;3;3.0
2;7;Hoffenheim II;2;1;0;1;4;3;1;3;1.5
2;8;Rostock;1;1;0;0;3;2;1;3;3.0
2;9;Stoccarda II;1;1;0;0;3;2;1;3;3.0
2;10;Mannheim;1;1;0;0;2;1;1;3;3.0
2;11;Meppen;2;1;0;1;2;3;-1;3;1.5
2;12;Grossaspach;2;1;0;1;1;2;-1;3;1.5
2;13;RW Essen;2;1;0;1;3;5;-2;3;1.5
2;14;Ingolstadt;2;0;2;0;3;3;0;2;1.0
2;15;Fortuna Colonia;2;0;1;1;1;2;-1;1;0.5
2;16;Havelse;2;0;0;2;2;4;-2;0;0.0
2;17;Viktoria Koln;1;0;0;1;2;5;-3;0;0.0
2;18;Dusseldorf;2;0;0;2;1;4;-3;0;0.0
2;19;Verl;2;0;0;2;3;8;-5;0;0.0
2;20;Wehen;2;0;0;2;1;7;-6;0;0.0
