Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Blumenthaler;5;5;0;0;23;6;17;15;3.0
5;2;Hemelingen;4;4;0;0;15;2;13;12;3.0
5;3;OSC Bremerhaven;5;4;0;1;16;4;12;12;2.4
5;4;Brinkumer;5;4;0;1;17;6;11;12;2.4
5;5;Schwachhausen;5;3;0;2;8;9;-1;9;1.8
5;6;Eiche Horn;5;2;2;1;4;5;-1;8;1.6
5;7;Vatan Bremen;4;2;1;1;16;9;7;7;1.75
5;8;Grohn;5;2;1;2;7;15;-8;7;1.4
5;9;Aumund-Vegesack;4;2;0;2;9;9;0;6;1.5
5;10;Union 60 Bremen;5;1;2;2;10;12;-2;5;1.0
5;11;Geestemunde;5;1;1;3;11;16;-5;4;0.8
5;12;Woltmershausen;5;1;1;3;6;18;-12;4;0.8
5;13;BTS Neustadt;5;1;0;4;7;16;-9;3;0.6
5;14;Oberneuland;3;0;2;1;5;7;-2;2;0.667
5;15;Leher;4;0;0;4;1;8;-7;0;0.0
5;16;Bremen III;5;0;0;5;7;20;-13;0;0.0
