Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Victoria Hamburg;8;5;2;1;19;12;7;17;2.125
8;2;Dassendorf;7;5;1;1;19;5;14;16;2.286
8;3;Paloma;7;5;1;1;21;12;9;16;2.286
8;4;Pinneberg;8;4;1;3;20;16;4;13;1.625
8;5;Niendorfer TSV;7;4;1;2;13;14;-1;13;1.857
8;6;TSV Buchholz 08;7;3;3;1;19;15;4;12;1.714
8;7;Sasel;7;4;0;3;13;13;0;12;1.714
8;8;Vorwarts-Wacker;8;3;3;2;10;13;-3;12;1.5
8;9;Suderelbe;8;3;2;3;12;10;2;11;1.375
8;10;Altona;6;3;1;2;17;18;-1;10;1.667
8;11;HT 16;7;3;0;4;14;11;3;9;1.286
8;12;ETSV Hamburg;6;2;1;3;12;13;-1;7;1.167
8;13;Teutonia Ottensen;6;2;1;3;10;11;-1;7;1.167
8;14;Tesla Hamburg;7;2;1;4;10;13;-3;7;1.0
8;15;Wandsbeker Concordia;7;2;1;4;12;16;-4;7;1.0
8;16;HEBC Hamburg;7;2;0;5;9;13;-4;6;0.857
8;17;Harksheide;8;1;3;4;10;16;-6;6;0.75
8;18;Vatan Bremen;1;1;0;0;3;0;3;3;3.0
8;19;Geestemunde;1;0;1;0;2;2;0;1;1.0
8;20;Leher;1;0;1;0;2;2;0;1;1.0
8;21;Oberneuland;1;0;0;1;0;3;-3;0;0.0
8;22;Norderstedt 2;7;0;0;7;8;27;-19;0;0.0
