Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Siedenbollentin;4;3;0;1;9;4;5;9;2.25
5;2;Wismar;5;3;0;2;7;6;1;9;1.8
5;3;Berliner AK 07;4;2;2;0;7;4;3;8;2.0
5;4;Schwerin;5;2;2;1;8;7;1;8;1.6
5;5;Reinickendorfer Fuchse;5;2;2;1;7;6;1;8;1.6
5;6;Rathenow;4;2;1;1;4;2;2;7;1.75
5;7;Stendal;4;2;1;1;7;6;1;7;1.75
5;8;Mahlsdorf;4;2;1;1;4;3;1;7;1.75
5;9;Lichtenberg;4;2;0;2;6;5;1;6;1.5
5;10;TB Berlin;4;1;2;1;4;4;0;5;1.25
5;11;Makkabi Berlin;3;1;1;1;3;3;0;4;1.333
5;12;Klosterfelde;5;1;1;3;4;9;-5;4;0.8
5;13;Neustrelitz;4;1;0;3;7;9;-2;3;0.75
5;14;Hertha Zehlendorf;4;1;0;3;3;5;-2;3;0.75
5;15;Sparta Lichtenberg;4;0;2;2;3;7;-4;2;0.5
5;16;Hansa Rostock 2;3;0;1;2;2;5;-3;1;0.333
