Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Buchbach;7;5;2;0;17;6;11;17;2.429
8;2;Memmingen;7;5;1;1;11;6;5;16;2.286
8;3;Vilzing;7;4;1;2;13;11;2;13;1.857
8;4;Eltersdorf;7;3;3;1;11;7;4;12;1.714
8;5;Illertissen;7;3;2;2;12;9;3;11;1.571
8;6;Unterhaching;6;3;2;1;6;4;2;11;1.833
8;7;Schweinfurt;7;3;2;2;14;16;-2;11;1.571
8;8;Augsburg 2;7;3;2;2;13;15;-2;11;1.571
8;9;Burghausen;7;3;1;3;18;14;4;10;1.429
8;10;Monaco 1860;6;2;4;0;13;9;4;10;1.667
8;11;Aubstadt;6;2;2;2;12;10;2;8;1.333
8;12;Schwaben Augsburg;7;2;2;3;7;9;-2;8;1.143
8;13;Eichstatt;7;2;2;3;7;12;-5;8;1.143
8;14;Bayern 2;6;2;1;3;7;6;1;7;1.167
8;15;Norinberga 2;6;2;1;3;11;11;0;7;1.167
8;16;Bayreuth;7;2;1;4;12;13;-1;7;1.0
8;17;Furth 2;6;1;0;5;6;12;-6;3;0.5
8;18;Landsberg;7;0;3;4;6;12;-6;3;0.429
8;19;Ansbach;6;0;0;6;3;17;-14;0;0.0
