Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Erfurt;4;3;1;0;13;3;10;10;2.5
4;2;Chemnitzer;4;3;1;0;10;1;9;10;2.5
4;3;Aue;4;3;1;0;10;6;4;10;2.5
4;4;Greifswald;4;2;1;1;10;6;4;7;1.75
4;5;Lokomotive Leipzig;4;2;1;1;9;7;2;7;1.75
4;6;Jena;4;2;0;2;7;4;3;6;1.5
4;7;Hallescher;4;1;3;0;4;3;1;6;1.5
4;8;Altglienicke;3;1;2;0;8;6;2;5;1.667
4;9;RSV Eintracht;4;1;2;1;5;6;-1;5;1.25
4;10;Magdeburg II;3;1;1;1;8;5;3;4;1.333
4;11;Babelsberg;3;1;1;1;4;3;1;4;1.333
4;12;BFC Dynamo;4;1;1;2;5;7;-2;4;1.0
4;13;Zwickau;4;1;1;2;3;7;-4;4;1.0
4;14;Luckenwalde;4;1;0;3;3;8;-5;3;0.75
4;15;Hertha II;3;1;0;2;3;9;-6;3;1.0
4;16;Tasmania Berlin;4;1;0;3;3;14;-11;3;0.75
4;17;BFC Preussen;4;0;1;3;3;8;-5;1;0.25
4;18;Chemie Leipzig;4;0;1;3;1;6;-5;1;0.25
