Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Monchengladbach II;2;2;0;0;5;1;4;6;3.0
2;2;Westfalia Rhynern;2;2;0;0;5;3;2;6;3.0
2;3;FC Gutersloh;2;2;0;0;3;1;2;6;3.0
2;4;Bergisch Gladbach;2;1;1;0;4;2;2;4;2.0
2;5;Colonia II;2;1;1;0;3;2;1;4;2.0
2;6;Oberhausen;2;1;1;0;2;1;1;4;2.0
2;7;Schalke II;2;1;0;1;7;7;0;3;1.5
2;8;Paderborn II;2;1;0;1;4;5;-1;3;1.5
2;9;Rodinghausen;2;1;0;1;2;3;-1;3;1.5
2;10;Dortmund II;2;0;2;0;2;2;0;2;1.0
2;11;Hilden;2;0;2;0;1;1;0;2;1.0
2;12;Bocholt;2;0;1;1;4;5;-1;1;0.5
2;13;Siegen;2;0;1;1;3;4;-1;1;0.5
2;14;Bochum II;2;0;1;1;2;3;-1;1;0.5
2;15;Wattenscheid;2;0;1;1;2;3;-1;1;0.5
2;16;Lotte;2;0;1;1;0;1;-1;1;0.5
2;17;Bonner;2;0;0;2;2;4;-2;0;0.0
2;18;Wiedenbruck;2;0;0;2;2;5;-3;0;0.0
