Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Videoton;1;1;0;0;4;0;4;3;3.0
1;2;Ajka;1;1;0;0;3;1;2;3;3.0
1;3;Gyirmot;1;1;0;0;3;1;2;3;3.0
1;4;DVTK;1;1;0;0;3;2;1;3;3.0
1;5;Soroksar;1;1;0;0;1;0;1;3;3.0
1;6;Szeged;1;0;1;0;1;1;0;1;1.0
1;7;Tiszakecske;1;0;1;0;1;1;0;1;1.0
1;8;BVSC-Zuglo;1;0;1;0;0;0;0;1;1.0
1;9;Karcagi;1;0;1;0;0;0;0;1;1.0
1;10;Kazincbarcika;1;0;1;0;0;0;0;1;1.0
1;11;Szentlorinc;1;0;1;0;0;0;0;1;1.0
1;12;Nagykanizsa;1;0;0;1;2;3;-1;0;0.0
1;13;Mezokovesd;1;0;0;1;0;1;-1;0;0.0
1;14;Csakvari;1;0;0;1;1;3;-2;0;0.0
1;15;Kecskemeti;1;0;0;1;1;3;-2;0;0.0
1;16;Kozarmisleny;1;0;0;1;0;4;-4;0;0.0
