Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
17;1;Breidablik D;16;12;0;4;44;18;26;36;2.25
17;2;Hafnarfjordur D;15;10;3;2;52;28;24;33;2.2
17;3;Stjarnan D;16;7;5;4;28;22;6;26;1.625
17;4;IBV Vestmannaeyjar D;15;7;3;5;26;28;-2;24;1.6
17;5;Grindavik/Njardvik D;16;6;4;6;24;26;-2;22;1.375
17;6;Thor/KA D;15;5;3;7;23;25;-2;18;1.2
17;7;Throttur D;15;5;3;7;21;25;-4;18;1.2
17;8;Fram D;16;5;1;10;22;39;-17;16;1.0
17;9;Valur D;15;3;4;8;15;28;-13;13;0.867
17;10;Vikingur Reykjavik D;15;3;2;10;21;37;-16;11;0.733
