Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;IR Reykjavik;1;1;0;0;7;4;3;3;3.0
1;2;Kopavogur;1;1;0;0;4;1;3;3;3.0
1;3;Fylkir;1;1;0;0;3;0;3;3;3.0
1;4;Throttur;1;1;0;0;2;0;2;3;3.0
1;5;Grindavik;1;0;1;0;1;1;0;1;1.0
1;6;Leiknir;1;0;1;0;1;1;0;1;1.0
1;7;Vestri;1;0;1;0;1;1;0;1;1.0
1;8;Volsungur;1;0;1;0;1;1;0;1;1.0
1;9;Njardvik;1;0;0;1;0;2;-2;0;0.0
1;10;Afturelding;1;0;0;1;4;7;-3;0;0.0
1;11;Grotta;1;0;0;1;1;4;-3;0;0.0
1;12;Aegir;1;0;0;1;0;3;-3;0;0.0
2;1;Fylkir;2;2;0;0;5;0;5;6;3.0
2;2;Kopavogur;2;2;0;0;6;2;4;6;3.0
2;3;Throttur;2;2;0;0;5;1;4;6;3.0
2;4;Leiknir;2;1;1;0;3;2;1;4;2.0
2;5;IR Reykjavik;2;1;0;1;8;7;1;3;1.5
2;6;Grindavik;2;0;2;0;1;1;0;2;1.0
2;7;Volsungur;2;0;2;0;1;1;0;2;1.0
2;8;Vestri;2;0;1;1;1;3;-2;1;0.5
2;9;Njardvik;2;0;1;1;0;2;-2;1;0.5
2;10;Afturelding;2;0;1;1;4;7;-3;1;0.5
2;11;Grotta;2;0;0;2;2;6;-4;0;0.0
2;12;Aegir;2;0;0;2;1;5;-4;0;0.0
3;1;Throttur;3;3;0;0;8;1;7;9;3.0
3;2;Kopavogur;3;2;0;1;9;6;3;6;2.0
3;3;Fylkir;3;2;0;1;5;2;3;6;2.0
3;4;IR Reykjavik;3;1;1;1;10;9;1;4;1.333
3;5;Afturelding;3;1;1;1;7;7;0;4;1.333
3;6;Njardvik;3;1;1;1;2;2;0;4;1.333
3;7;Vestri;3;1;1;1;5;6;-1;4;1.333
3;8;Leiknir;3;1;1;1;3;5;-2;4;1.333
3;9;Grindavik;3;0;3;0;3;3;0;3;1.0
3;10;Grotta;3;1;0;2;3;6;-3;3;1.0
3;11;Volsungur;3;0;2;1;1;4;-3;2;0.667
3;12;Aegir;3;0;0;3;1;6;-5;0;0.0
4;1;Throttur;4;3;1;0;9;2;7;10;2.5
4;2;Kopavogur;4;3;0;1;11;6;5;9;2.25
4;3;Fylkir;4;3;0;1;7;3;4;9;2.25
4;4;Afturelding;4;2;1;1;10;8;2;7;1.75
4;5;Vestri;4;2;1;1;7;7;0;7;1.75
4;6;Grindavik;4;1;3;0;6;4;2;6;1.5
4;7;Leiknir;4;1;2;1;4;6;-2;5;1.25
4;8;IR Reykjavik;4;1;1;2;11;11;0;4;1.0
4;9;Njardvik;4;1;1;2;2;4;-2;4;1.0
4;10;Grotta;4;1;0;3;4;9;-5;3;0.75
4;11;Volsungur;4;0;2;2;2;7;-5;2;0.5
4;12;Aegir;4;0;0;4;2;8;-6;0;0.0
5;1;Fylkir;5;4;0;1;8;3;5;12;2.4
5;2;Throttur;5;3;1;1;12;6;6;10;2.0
5;3;Afturelding;5;3;1;1;14;11;3;10;2.0
5;4;Kopavogur;5;3;0;2;12;9;3;9;1.8
5;5;IR Reykjavik;5;2;1;2;14;12;2;7;1.4
5;6;Grindavik;5;1;4;0;6;4;2;7;1.4
5;7;Vestri;5;2;1;2;10;12;-2;7;1.4
5;8;Leiknir;5;1;3;1;4;6;-2;6;1.2
5;9;Grotta;5;2;0;3;9;12;-3;6;1.2
5;10;Njardvik;5;1;2;2;2;4;-2;5;1.0
5;11;Volsungur;5;0;2;3;2;8;-6;2;0.4
5;12;Aegir;5;0;1;4;2;8;-6;1;0.2
6;1;Fylkir;6;5;0;1;11;3;8;15;2.5
6;2;Afturelding;6;4;1;1;17;12;5;13;2.167
6;3;Kopavogur;6;4;0;2;13;9;4;12;2.0
6;4;Throttur;6;3;1;2;14;9;5;10;1.667
6;5;Grotta;6;3;0;3;12;14;-2;9;1.5
6;6;Njardvik;6;2;2;2;5;4;1;8;1.333
6;7;Grindavik;6;1;4;1;7;7;0;7;1.167
6;8;IR Reykjavik;6;2;1;3;15;16;-1;7;1.167
6;9;Vestri;6;2;1;3;10;15;-5;7;1.167
6;10;Leiknir;6;1;3;2;4;9;-5;6;1.0
6;11;Aegir;6;1;1;4;6;9;-3;4;0.667
6;12;Volsungur;6;0;2;4;2;9;-7;2;0.333
7;1;Afturelding;7;5;1;1;22;13;9;16;2.286
7;2;Fylkir;7;5;0;2;12;8;4;15;2.143
7;3;Throttur;7;4;1;2;16;9;7;13;1.857
7;4;Kopavogur;7;4;0;3;14;13;1;12;1.714
7;5;Grotta;7;4;0;3;14;15;-1;12;1.714
7;6;Vestri;7;3;1;3;11;15;-4;10;1.429
7;7;Leiknir;7;2;3;2;8;10;-2;9;1.286
7;8;Njardvik;7;2;2;3;6;6;0;8;1.143
7;9;IR Reykjavik;7;2;1;4;15;17;-2;7;1.0
7;10;Aegir;7;2;1;4;9;11;-2;7;1.0
7;11;Grindavik;7;1;4;2;7;9;-2;7;1.0
7;12;Volsungur;7;0;2;5;4;12;-8;2;0.286
8;1;Throttur;8;5;1;2;19;10;9;16;2.0
8;2;Afturelding;8;5;1;2;23;15;8;16;2.0
8;3;Kopavogur;8;5;0;3;16;14;2;15;1.875
8;4;Fylkir;8;5;0;3;13;11;2;15;1.875
8;5;Vestri;8;4;1;3;16;16;0;13;1.625
8;6;Leiknir;8;3;3;2;11;10;1;12;1.5
8;7;Grotta;7;4;0;3;14;15;-1;12;1.714
8;8;Njardvik;8;3;2;3;11;7;4;11;1.375
8;9;Grindavik;7;1;4;2;7;9;-2;7;1.0
8;10;Aegir;8;2;1;5;9;14;-5;7;0.875
8;11;IR Reykjavik;8;2;1;5;16;22;-6;7;0.875
8;12;Volsungur;8;0;2;6;5;17;-12;2;0.25
9;1;Throttur;9;6;1;2;21;10;11;19;2.111
9;2;Fylkir;9;6;0;3;14;11;3;18;2.0
9;3;Afturelding;8;5;1;2;23;15;8;16;2.0
9;4;Leiknir;9;4;3;2;12;10;2;15;1.667
9;5;Kopavogur;9;5;0;4;16;16;0;15;1.667
9;6;Vestri;9;4;1;4;16;17;-1;13;1.444
9;7;Grotta;8;4;0;4;15;17;-2;12;1.5
9;8;Njardvik;9;3;2;4;12;9;3;11;1.222
9;9;IR Reykjavik;9;3;1;5;18;23;-5;10;1.111
9;10;Grindavik;8;1;4;3;7;10;-3;7;0.875
9;11;Aegir;8;2;1;5;9;14;-5;7;0.875
9;12;Volsungur;9;1;2;6;7;18;-11;5;0.556
10;1;Throttur;10;7;1;2;24;11;13;22;2.2
10;2;Fylkir;10;7;0;3;19;13;6;21;2.1
10;3;Afturelding;9;5;1;3;23;17;6;16;1.778
10;4;Vestri;10;5;1;4;18;17;1;16;1.6
10;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
10;6;Leiknir;10;4;3;3;12;11;1;15;1.5
10;7;Njardvik;10;4;2;4;13;9;4;14;1.4
10;8;Grotta;9;4;0;5;17;22;-5;12;1.333
10;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
10;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
10;11;Aegir;9;2;1;6;10;17;-7;7;0.778
10;12;Volsungur;10;1;3;6;11;22;-11;6;0.6
11;1;Throttur;10;7;1;2;24;11;13;22;2.2
11;2;Fylkir;10;7;0;3;19;13;6;21;2.1
11;3;Afturelding;9;5;1;3;23;17;6;16;1.778
11;4;Vestri;10;5;1;4;18;17;1;16;1.6
11;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
11;6;Leiknir;10;4;3;3;12;11;1;15;1.5
11;7;Njardvik;10;4;2;4;13;9;4;14;1.4
11;8;Grotta;10;4;1;5;19;24;-5;13;1.3
11;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
11;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
11;11;Aegir;9;2;1;6;10;17;-7;7;0.778
11;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
12;1;Throttur;10;7;1;2;24;11;13;22;2.2
12;2;Fylkir;10;7;0;3;19;13;6;21;2.1
12;3;Afturelding;9;5;1;3;23;17;6;16;1.778
12;4;Vestri;10;5;1;4;18;17;1;16;1.6
12;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
12;6;Leiknir;10;4;3;3;12;11;1;15;1.5
12;7;Njardvik;10;4;2;4;13;9;4;14;1.4
12;8;Grotta;10;4;1;5;19;24;-5;13;1.3
12;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
12;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
12;11;Aegir;9;2;1;6;10;17;-7;7;0.778
12;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
13;1;Throttur;10;7;1;2;24;11;13;22;2.2
13;2;Fylkir;10;7;0;3;19;13;6;21;2.1
13;3;Afturelding;9;5;1;3;23;17;6;16;1.778
13;4;Vestri;10;5;1;4;18;17;1;16;1.6
13;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
13;6;Leiknir;10;4;3;3;12;11;1;15;1.5
13;7;Njardvik;10;4;2;4;13;9;4;14;1.4
13;8;Grotta;10;4;1;5;19;24;-5;13;1.3
13;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
13;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
13;11;Aegir;9;2;1;6;10;17;-7;7;0.778
13;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
14;1;Throttur;10;7;1;2;24;11;13;22;2.2
14;2;Fylkir;10;7;0;3;19;13;6;21;2.1
14;3;Afturelding;9;5;1;3;23;17;6;16;1.778
14;4;Vestri;10;5;1;4;18;17;1;16;1.6
14;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
14;6;Leiknir;10;4;3;3;12;11;1;15;1.5
14;7;Njardvik;10;4;2;4;13;9;4;14;1.4
14;8;Grotta;10;4;1;5;19;24;-5;13;1.3
14;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
14;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
14;11;Aegir;9;2;1;6;10;17;-7;7;0.778
14;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
15;1;Throttur;10;7;1;2;24;11;13;22;2.2
15;2;Fylkir;10;7;0;3;19;13;6;21;2.1
15;3;Vestri;11;6;1;4;21;19;2;19;1.727
15;4;Afturelding;9;5;1;3;23;17;6;16;1.778
15;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
15;6;Leiknir;10;4;3;3;12;11;1;15;1.5
15;7;Njardvik;10;4;2;4;13;9;4;14;1.4
15;8;Grotta;10;4;1;5;19;24;-5;13;1.3
15;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
15;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
15;11;Aegir;10;2;1;7;12;20;-8;7;0.7
15;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
16;1;Throttur;11;7;2;2;25;12;13;23;2.091
16;2;Fylkir;10;7;0;3;19;13;6;21;2.1
16;3;Vestri;12;6;2;4;22;20;2;20;1.667
16;4;Afturelding;9;5;1;3;23;17;6;16;1.778
16;5;Kopavogur;10;5;1;4;18;18;0;16;1.6
16;6;Leiknir;10;4;3;3;12;11;1;15;1.5
16;7;Njardvik;10;4;2;4;13;9;4;14;1.4
16;8;Grotta;10;4;1;5;19;24;-5;13;1.3
16;9;IR Reykjavik;10;3;2;5;22;27;-5;11;1.1
16;10;Grindavik;9;1;5;3;9;12;-3;8;0.889
16;11;Aegir;10;2;1;7;12;20;-8;7;0.7
16;12;Volsungur;11;1;4;6;13;24;-11;7;0.636
