Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
24;1;Haukar;14;9;3;2;37;19;18;30;2.143
24;2;Selfoss;13;6;5;2;27;24;3;23;1.769
24;3;Kari;13;5;6;2;36;23;13;21;1.615
24;4;Kormakur/Hvot;13;5;5;3;29;15;14;20;1.538
24;5;Dalvik/Reynir;13;6;2;5;23;22;1;20;1.538
24;6;Fjolnir;13;5;3;5;32;28;4;18;1.385
24;7;Olafsvik;13;5;3;5;18;23;-5;18;1.385
24;8;KFA;13;4;2;7;29;25;4;14;1.077
24;9;Magni;13;4;2;7;23;40;-17;14;1.077
24;10;Throttur Vogar;13;4;1;8;21;26;-5;13;1.0
24;11;Hviti;13;2;7;4;17;23;-6;13;1.0
24;12;KFG Gardabaer;13;4;0;9;18;42;-24;12;0.923
24;13;Throttur Vogum;1;1;0;0;3;2;1;3;3.0
24;14;UMF Selfoss;1;0;1;0;2;2;0;1;1.0
24;15;Fjoelnir;1;0;0;1;2;3;-1;0;0.0
