Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
3;1;Sidoarjo;2;2;0;0;8;2;6;6;3.0
3;2;Persela;2;2;0;0;3;0;3;6;3.0
3;3;Persikad Depok;2;2;0;0;4;2;2;6;3.0
3;4;PSMS Medan;2;1;1;0;8;2;6;4;2.0
3;5;RANS Nusantara;2;1;1;0;6;5;1;4;2.0
3;6;PSIS Semarang;2;1;1;0;3;2;1;4;2.0
3;7;Padang;2;1;1;0;2;1;1;4;2.0
3;8;Tornado Pekanbaru;2;1;1;0;1;0;1;4;2.0
3;9;Dejan;3;1;1;1;4;4;0;4;1.333
3;10;Persis Solo;2;1;0;1;7;2;5;3;1.5
3;11;PSGC Ciamis;2;1;0;1;3;2;1;3;1.5
3;12;Barito Putera;2;1;0;1;5;5;0;3;1.5
3;13;PSPS Riau;2;1;0;1;3;3;0;3;1.5
3;14;Bekasi City;2;0;1;1;2;3;-1;1;0.5
3;15;Persipura;2;0;1;1;2;3;-1;1;0.5
3;16;Sumsel United;2;0;1;1;2;4;-2;1;0.5
3;17;Persiku Kudus;2;0;1;1;1;7;-6;1;0.5
3;18;Persiraja Aceh;2;0;0;2;1;3;-2;0;0.0
3;19;Balikpapan;3;0;0;3;2;5;-3;0;0.0
3;20;PSBS Biak Numfor;2;0;0;2;0;12;-12;0;0.0
