Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Roma;4;4;0;0;12;1;11;12;3.0
4;2;Lazio;4;3;1;0;6;3;3;10;2.5
4;3;Como;3;3;0;0;8;3;5;9;3.0
4;4;Inter;3;3;0;0;9;5;4;9;3.0
4;5;Milan;4;2;2;0;7;4;3;8;2.0
4;6;Frosinone;4;2;1;1;7;4;3;7;1.75
4;7;Juventus;4;2;1;1;6;4;2;7;1.75
4;8;Sassuolo;4;2;1;1;8;7;1;7;1.75
4;9;Cagliari;3;2;0;1;3;2;1;6;2.0
4;10;Atalanta;4;2;0;2;5;5;0;6;1.5
4;11;Lecce;4;2;0;2;5;7;-2;6;1.5
4;12;Napoli;3;1;0;2;4;5;-1;3;1.0
4;13;Udinese;3;1;0;2;7;9;-2;3;1.0
4;14;Torino;4;1;0;3;4;7;-3;3;0.75
4;15;Fiorentina;4;1;0;3;5;11;-6;3;0.75
4;16;Monza;3;0;1;2;5;7;-2;1;0.333
4;17;Bologna;4;0;1;3;2;5;-3;1;0.25
4;18;Parma;3;0;1;2;2;5;-3;1;0.333
4;19;Genoa;3;0;1;2;2;6;-4;1;0.333
4;20;Venezia;4;0;0;4;4;11;-7;0;0.0
