Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Palermo;3;3;0;0;7;3;4;9;3.0
4;2;Ascoli;3;2;1;0;4;2;2;7;2.333
4;3;Avellino;2;2;0;0;4;0;4;6;3.0
4;4;Pisa;4;2;0;2;6;6;0;6;1.5
4;5;Cesena;3;1;2;0;4;3;1;5;1.667
4;6;Verona;4;1;1;2;8;6;2;4;1.0
4;7;Entella;3;1;1;1;7;5;2;4;1.333
4;8;Mantova;2;1;1;0;4;2;2;4;2.0
4;9;Südtirol;2;1;1;0;3;1;2;4;2.0
4;10;Benevento;3;1;1;1;4;3;1;4;1.333
4;11;Padova;3;1;1;1;3;4;-1;4;1.333
4;12;Modena;2;1;0;1;3;1;2;3;1.5
4;13;Cremonese;2;1;0;1;3;4;-1;3;1.5
4;14;Empoli;3;1;0;2;2;4;-2;3;1.0
4;15;Juve Stabia;3;1;0;2;2;5;-3;3;1.0
4;16;Arezzo;3;1;0;2;3;8;-5;3;1.0
4;17;Carrarese;2;0;1;1;1;2;-1;1;0.5
4;18;Sampdoria;3;0;1;2;3;6;-3;1;0.333
4;19;L.R. Vicenza;2;0;1;1;2;5;-3;1;0.5
4;20;Catanzaro;2;0;0;2;1;4;-3;0;0.0
