Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Spezia;6;5;1;0;12;3;9;16;2.667
6;2;Ravenna;6;4;2;0;10;2;8;14;2.333
6;3;Reggiana;6;4;2;0;12;5;7;14;2.333
6;4;Grosseto;6;3;3;0;9;4;5;12;2.0
6;5;Livorno;6;3;2;1;7;6;1;11;1.833
6;6;Torres;6;3;1;2;8;8;0;10;1.667
6;7;Forlì;6;2;3;1;12;10;2;9;1.5
6;8;Atalanta U23;5;3;0;2;7;7;0;9;1.8
6;9;Campobasso;6;2;2;2;9;9;0;8;1.333
6;10;Gubbio;5;2;1;2;9;8;1;7;1.4
6;11;Pineto;6;1;4;1;6;6;0;7;1.167
6;12;Perugia;6;2;1;3;5;11;-6;7;1.167
6;13;Guidonia;5;1;3;1;5;5;0;6;1.2
6;14;Ostiamare;6;2;0;4;7;8;-1;6;1.0
6;15;Pescara;5;1;2;2;6;9;-3;5;1.0
6;16;Latina;6;1;2;3;5;8;-3;5;0.833
6;17;Pianese;6;0;3;3;2;6;-4;3;0.5
6;18;Sambenedettese;6;0;2;4;7;11;-4;2;0.333
6;19;Vado;5;0;1;4;3;8;-5;1;0.2
6;20;Vis Pesaro;5;0;1;4;6;13;-7;1;0.2
