Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Sorrento;5;5;0;0;9;3;6;15;3.0
5;2;Casertana;4;3;1;0;8;5;3;10;2.5
5;3;Picerno;5;3;0;2;11;8;3;9;1.8
5;4;Casarano;4;3;0;1;8;5;3;9;2.25
5;5;Bari;4;2;1;1;4;3;1;7;1.75
5;6;Monopoli;5;2;1;2;3;2;1;7;1.4
5;7;Potenza;4;2;1;1;5;5;0;7;1.75
5;8;Inter U23;5;2;1;2;8;9;-1;7;1.4
5;9;Audace Cerignola;4;2;0;2;7;4;3;6;1.5
5;10;Catania;5;2;0;3;10;8;2;6;1.2
5;11;Salernitana;5;1;3;1;8;7;1;6;1.2
5;12;Barletta;4;1;2;1;7;6;1;5;1.25
5;13;Cavese;4;1;2;1;6;5;1;5;1.25
5;14;Savoia;5;1;2;2;6;6;0;5;1.0
5;15;Scafatese;4;1;2;1;4;5;-1;5;1.25
5;16;Foggia;5;1;2;2;2;4;-2;5;1.0
5;17;Altamura;5;1;1;3;2;7;-5;4;0.8
5;18;Giugliano;4;1;0;3;8;12;-4;3;0.75
5;19;Crotone;5;0;2;3;3;7;-4;2;0.4
5;20;Cosenza;4;0;1;3;3;11;-8;1;0.25
