Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Machida;1;1;0;0;5;1;4;3;3.0
1;2;Hiroshima;1;1;0;0;3;0;3;3;3.0
1;3;G-Osaka;1;1;0;0;4;3;1;3;3.0
1;4;Kashima;1;1;0;0;4;3;1;3;3.0
1;5;C-Osaka;1;1;0;0;2;1;1;3;3.0
1;6;Kashiwa;1;1;0;0;2;1;1;3;3.0
1;7;Kobe;1;1;0;0;1;0;1;3;3.0
1;8;Shimizu;1;1;0;0;1;0;1;3;3.0
1;9;Urawa;1;0;0;1;3;4;-1;0;0.0
1;10;Yokohama M.;1;0;0;1;3;4;-1;0;0.0
1;11;Mito;1;0;0;1;1;2;-1;0;0.0
1;12;Okayama;1;0;0;1;1;2;-1;0;0.0
1;13;Avispa Fukuoka;1;0;0;1;0;1;-1;0;0.0
1;14;Nagoya;1;0;0;1;0;1;-1;0;0.0
1;15;Chiba;1;0;0;1;0;3;-3;0;0.0
1;16;Tokyo;1;0;0;1;1;5;-4;0;0.0
