Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
30;1;Shakhter K.;21;19;1;1;62;7;55;58;2.762
30;2;Kairat Almaty 2;21;16;4;1;62;10;52;52;2.476
30;3;Turan;21;14;2;5;44;19;25;44;2.095
30;4;Akademiya Ontustik;21;12;3;6;35;27;8;39;1.857
30;5;Jaiyq;21;9;3;9;20;24;-4;30;1.429
30;6;FC Astana 2;21;9;2;10;33;40;-7;29;1.381
30;7;Taraz;21;8;4;9;27;29;-2;28;1.333
30;8;FC Batyr;21;7;5;9;29;41;-12;26;1.238
30;9;Kaspij Aktau 2;21;7;4;10;28;36;-8;25;1.19
30;10;Khan Tengri;21;7;3;11;26;39;-13;24;1.143
30;11;Aktobe 2;21;6;5;10;36;62;-26;23;1.095
30;12;Arys;21;5;3;13;23;41;-18;18;0.857
30;13;Yelimay Semey 2;21;3;3;15;16;42;-26;12;0.571
30;14;Tobol 2;21;2;4;15;32;56;-24;10;0.476
