Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Kairat Almaty 2;13;11;2;0;44;7;37;35;2.692
22;2;Shakhter K.;13;11;1;1;36;5;31;34;2.615
22;3;Turan;13;8;1;4;25;11;14;25;1.923
22;4;FC Astana 2;13;6;2;5;24;22;2;20;1.538
22;5;Akademiya Ontustik;13;6;2;5;19;17;2;20;1.538
22;6;Jaiyq;13;6;1;6;11;17;-6;19;1.462
22;7;Khan Tengri;13;5;2;6;18;25;-7;17;1.308
22;8;FC Batyr;13;4;5;4;17;24;-7;17;1.308
22;9;Taraz;13;5;1;7;19;19;0;16;1.231
22;10;Aktobe 2;13;4;4;5;26;39;-13;16;1.231
22;11;Kaspij Aktau 2;13;4;3;6;16;22;-6;15;1.154
22;12;Arys;13;3;1;9;15;28;-13;10;0.769
22;13;Tobol 2;13;1;4;8;21;38;-17;7;0.538
22;14;Yelimay Semey 2;13;1;3;9;10;27;-17;6;0.462
