Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
34;1;Ordabasy;23;17;4;2;46;16;30;55;2.391
34;2;Kairat Almaty;22;15;6;1;44;15;29;51;2.318
34;3;FC Astana;22;12;6;4;37;24;13;42;1.909
34;4;Okzhetpes;23;11;6;6;35;31;4;39;1.696
34;5;Aktobe;23;11;5;7;35;27;8;38;1.652
34;6;Zhenis;23;9;8;6;24;23;1;35;1.522
34;7;Ulytau;24;9;7;8;24;24;0;34;1.417
34;8;Yelimay Semey;22;8;8;6;31;28;3;32;1.455
34;9;Tobol;23;8;4;11;26;31;-5;28;1.217
34;10;Kaspij Aktau;23;6;5;12;24;32;-8;23;1.0
34;11;Kyzylzhar;23;5;6;12;25;36;-11;21;0.913
34;12;Atyrau;22;3;11;8;17;24;-7;20;0.909
34;13;Ertis Pavlodar;22;4;8;10;22;31;-9;20;0.909
34;14;Kaisar;23;3;11;9;20;30;-10;20;0.87
34;15;Zhetysu;23;4;7;12;24;41;-17;19;0.826
34;16;Altai;23;3;8;12;19;36;-17;17;0.739
34;17;Altai Semey;1;0;0;1;0;1;-1;0;0.0
34;18;Zhetysu Taldykorgan;1;0;0;1;0;3;-3;0;0.0
