Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Bars;21;13;4;4;57;31;26;43;2.048
25;2;Muras United;21;12;7;2;46;20;26;43;2.048
25;3;Ozgon;21;13;3;5;43;26;17;42;2.0
25;4;Alga;21;12;6;3;39;22;17;42;2.0
25;5;Asia Talas;21;11;7;3;47;34;13;40;1.905
25;6;Alay Osh;21;11;6;4;30;20;10;39;1.857
25;7;Talant;22;7;7;8;28;24;4;28;1.273
25;8;Dordoi Bishkek;21;8;3;10;34;30;4;27;1.286
25;9;Aldier;22;7;6;9;32;39;-7;27;1.227
25;10;Neftchi Kochkor-Ata;21;8;2;11;28;37;-9;26;1.238
25;11;Toktogul;21;8;2;11;25;34;-9;26;1.238
25;12;Ilbirs;21;5;9;7;27;33;-6;24;1.143
25;13;Bishkek City;20;4;7;9;20;30;-10;19;0.95
25;14;Asiagoal Bishkek;21;3;9;9;24;36;-12;18;0.857
25;15;Abdysh-Ata;22;2;5;15;18;44;-26;11;0.5
25;16;Kyrgyzaltyn;21;1;5;15;19;57;-38;8;0.381
