Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Metta;18;15;2;1;77;14;63;47;2.611
19;2;Valmiera;18;14;2;2;60;26;34;44;2.444
19;3;Riga Mariners;18;12;5;1;40;17;23;41;2.278
19;4;Leevon PPK;18;12;3;3;32;22;10;39;2.167
19;5;Alberts JDFS;18;10;4;4;37;24;13;34;1.889
19;6;Marupe;19;9;1;9;39;38;1;28;1.474
19;7;Super Nova 2;19;6;6;7;26;28;-2;24;1.263
19;8;Riga FC 2;18;7;3;8;26;33;-7;24;1.333
19;9;Skanste;18;7;2;9;37;35;2;23;1.278
19;10;JFK Ventspils;17;2;6;9;19;29;-10;12;0.706
19;11;RFS 2;18;3;3;12;24;51;-27;12;0.667
19;12;Tukums 2000 2;17;3;3;11;23;51;-28;12;0.706
19;13;FK Smiltene;18;2;4;12;21;53;-32;10;0.556
19;14;Rezekne;18;1;2;15;14;54;-40;5;0.278
