Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Neptunas;1;1;0;0;3;0;3;3;3.0
1;2;Dainava Alytus;1;1;0;0;1;0;1;3;3.0
1;3;Babrungas;1;0;1;0;0;0;0;1;1.0
1;4;FK Minija;1;0;1;0;0;0;0;1;1.0
1;5;Jonava;1;0;1;0;0;0;0;1;1.0
1;6;Kauno Zalgiris 2;1;0;1;0;0;0;0;1;1.0
1;7;Garliava;1;0;0;1;0;1;-1;0;0.0
1;8;Transinvest 2;1;0;0;1;0;3;-3;0;0.0
2;1;FK Minija;2;1;1;0;4;0;4;4;2.0
2;2;Babrungas;2;1;1;0;3;0;3;4;2.0
2;3;Neptunas;2;1;1;0;3;0;3;4;2.0
2;4;Dainava Alytus;2;1;1;0;4;3;1;4;2.0
2;5;Atmosfera;1;1;0;0;3;0;3;3;3.0
2;6;BE1 NFA;1;1;0;0;3;1;2;3;3.0
2;7;Garliava;2;1;0;1;2;1;1;3;1.5
2;8;Tauras;1;1;0;0;2;1;1;3;3.0
2;9;Siauliai 2;1;0;1;0;0;0;0;1;1.0
2;10;Kauno Zalgiris 2;2;0;1;1;1;2;-1;1;0.5
2;11;Jonava;2;0;1;1;0;2;-2;1;0.5
2;12;Transinvest 2;2;0;1;1;3;6;-3;1;0.5
2;13;BFA Vilnius;1;0;0;1;1;3;-2;0;0.0
2;14;Ekranas;1;0;0;1;0;3;-3;0;0.0
2;15;Hegelmann Litauen 2;1;0;0;1;0;3;-3;0;0.0
2;16;Zalgiris 2;1;0;0;1;0;4;-4;0;0.0
3;1;FK Minija;3;2;1;0;7;0;7;7;2.333
3;2;Babrungas;3;2;1;0;6;0;6;7;2.333
3;3;Atmosfera;2;2;0;0;5;1;4;6;3.0
3;4;Garliava;3;2;0;1;5;1;4;6;2.0
3;5;Tauras;2;2;0;0;4;2;2;6;3.0
3;6;BE1 NFA;2;1;1;0;5;3;2;4;2.0
3;7;Dainava Alytus;3;1;1;1;5;5;0;4;1.333
3;8;Neptunas;3;1;1;1;3;3;0;4;1.333
3;9;BFA Vilnius;2;1;0;1;2;3;-1;3;1.5
3;10;Zalgiris 2;2;1;0;1;1;4;-3;3;1.5
3;11;Jonava;3;0;2;1;2;4;-2;2;0.667
3;12;Siauliai 2;2;0;1;1;0;1;-1;1;0.5
3;13;Kauno Zalgiris 2;3;0;1;2;2;4;-2;1;0.333
3;14;Transinvest 2;3;0;1;2;3;9;-6;1;0.333
3;15;Ekranas;2;0;0;2;0;4;-4;0;0.0
3;16;Hegelmann Litauen 2;2;0;0;2;0;6;-6;0;0.0
4;1;FK Minija;4;3;1;0;10;2;8;10;2.5
4;2;Babrungas;4;3;1;0;9;1;8;10;2.5
4;3;Atmosfera;3;3;0;0;9;2;7;9;3.0
4;4;Garliava;4;2;1;1;6;2;4;7;1.75
4;5;Neptunas;4;2;1;1;4;3;1;7;1.75
4;6;Tauras;3;2;0;1;4;3;1;6;2.0
4;7;Zalgiris 2;3;2;0;1;2;4;-2;6;2.0
4;8;Jonava;4;1;2;1;4;5;-1;5;1.25
4;9;BE1 NFA;3;1;1;1;7;6;1;4;1.333
4;10;Dainava Alytus;4;1;1;2;6;8;-2;4;1.0
4;11;Transinvest 2;4;1;1;2;4;9;-5;4;1.0
4;12;BFA Vilnius;3;1;0;2;2;4;-2;3;1.0
4;13;Kauno Zalgiris 2;4;0;1;3;2;5;-3;1;0.25
4;14;Siauliai 2;3;0;1;2;1;5;-4;1;0.333
4;15;Hegelmann Litauen 2;3;0;1;2;1;7;-6;1;0.333
4;16;Ekranas;3;0;0;3;1;6;-5;0;0.0
5;1;FK Minija;5;4;1;0;12;3;9;13;2.6
5;2;Babrungas;5;4;1;0;10;1;9;13;2.6
5;3;Atmosfera;4;3;0;1;10;4;6;9;2.25
5;4;Tauras;4;3;0;1;6;3;3;9;2.25
5;5;Zalgiris 2;4;3;0;1;6;4;2;9;2.25
5;6;Jonava;5;2;2;1;7;6;1;8;1.6
5;7;BE1 NFA;4;2;1;1;10;6;4;7;1.75
5;8;Garliava;5;2;1;2;6;4;2;7;1.4
5;9;Neptunas;5;2;1;2;4;4;0;7;1.4
5;10;Transinvest 2;5;2;1;2;6;10;-4;7;1.4
5;11;Dainava Alytus;5;1;2;2;6;8;-2;5;1.0
5;12;BFA Vilnius;4;1;1;2;2;4;-2;4;1.0
5;13;Kauno Zalgiris 2;5;0;1;4;3;8;-5;1;0.2
5;14;Siauliai 2;4;0;1;3;1;9;-8;1;0.25
5;15;Hegelmann Litauen 2;4;0;1;3;1;10;-9;1;0.25
5;16;Ekranas;4;0;0;4;2;8;-6;0;0.0
6;1;FK Minija;6;5;1;0;16;3;13;16;2.667
6;2;Babrungas;6;5;1;0;12;2;10;16;2.667
6;3;Zalgiris 2;5;3;1;1;8;6;2;10;2.0
6;4;Atmosfera;5;3;0;2;10;6;4;9;1.8
6;5;Tauras;5;3;0;2;7;5;2;9;1.8
6;6;Jonava;6;2;3;1;9;8;1;9;1.5
6;7;BE1 NFA;5;2;2;1;12;8;4;8;1.6
6;8;Garliava;6;2;2;2;8;6;2;8;1.333
6;9;Dainava Alytus;6;2;2;2;8;8;0;8;1.333
6;10;Transinvest 2;6;2;2;2;8;12;-4;8;1.333
6;11;BFA Vilnius;5;2;1;2;5;5;0;7;1.4
6;12;Neptunas;6;2;1;3;5;7;-2;7;1.167
6;13;Hegelmann Litauen 2;5;1;1;3;4;11;-7;4;0.8
6;14;Siauliai 2;5;0;2;3;3;11;-8;2;0.4
6;15;Kauno Zalgiris 2;6;0;1;5;3;12;-9;1;0.167
6;16;Ekranas;5;0;0;5;3;11;-8;0;0.0
7;1;FK Minija;7;6;1;0;19;4;15;19;2.714
7;2;Babrungas;7;6;1;0;13;2;11;19;2.714
7;3;Jonava;7;3;3;1;13;8;5;12;1.714
7;4;BE1 NFA;6;3;2;1;14;9;5;11;1.833
7;5;Zalgiris 2;6;3;2;1;8;6;2;11;1.833
7;6;BFA Vilnius;6;3;1;2;8;6;2;10;1.667
7;7;Neptunas;7;3;1;3;8;8;0;10;1.429
7;8;Atmosfera;6;3;0;3;11;9;2;9;1.5
7;9;Dainava Alytus;7;2;3;2;8;8;0;9;1.286
7;10;Tauras;6;3;0;3;8;8;0;9;1.5
7;11;Garliava;7;2;2;3;8;7;1;8;1.143
7;12;Transinvest 2;7;2;2;3;8;16;-8;8;1.143
7;13;Hegelmann Litauen 2;6;2;1;3;6;11;-5;7;1.167
7;14;Siauliai 2;6;0;2;4;4;14;-10;2;0.333
7;15;Kauno Zalgiris 2;7;0;1;6;3;14;-11;1;0.143
7;16;Ekranas;6;0;0;6;4;13;-9;0;0.0
8;1;FK Minija;8;7;1;0;26;5;21;22;2.75
8;2;Babrungas;8;7;1;0;17;2;15;22;2.75
8;3;BE1 NFA;7;4;2;1;15;9;6;14;2.0
8;4;Neptunas;8;4;1;3;10;9;1;13;1.625
8;5;Dainava Alytus;8;3;3;2;11;8;3;12;1.5
8;6;Jonava;8;3;3;2;13;11;2;12;1.5
8;7;Tauras;7;4;0;3;10;8;2;12;1.714
8;8;Garliava;8;3;2;3;11;8;3;11;1.375
8;9;Zalgiris 2;7;3;2;2;9;8;1;11;1.571
8;10;BFA Vilnius;7;3;1;3;8;10;-2;10;1.429
8;11;Atmosfera;7;3;0;4;11;11;0;9;1.286
8;12;Transinvest 2;8;2;2;4;9;23;-14;8;1.0
8;13;Hegelmann Litauen 2;7;2;1;4;6;13;-7;7;1.0
8;14;Siauliai 2;7;1;2;4;6;14;-8;5;0.714
8;15;Kauno Zalgiris 2;8;0;1;7;3;15;-12;1;0.125
8;16;Ekranas;7;0;0;7;5;16;-11;0;0.0
9;1;FK Minija;9;8;1;0;29;6;23;25;2.778
9;2;Babrungas;9;7;2;0;18;3;15;23;2.556
9;3;BE1 NFA;8;5;2;1;20;11;9;17;2.125
9;4;Neptunas;9;5;1;3;11;9;2;16;1.778
9;5;Garliava;9;4;2;3;13;9;4;14;1.556
9;6;Tauras;8;4;1;3;12;10;2;13;1.625
9;7;Jonava;9;3;3;3;13;12;1;12;1.333
9;8;Dainava Alytus;9;3;3;3;12;11;1;12;1.333
9;9;Zalgiris 2;8;3;3;2;11;10;1;12;1.5
9;10;Transinvest 2;9;3;2;4;11;24;-13;11;1.222
9;11;Atmosfera;8;3;1;4;12;12;0;10;1.25
9;12;BFA Vilnius;8;3;1;4;9;12;-3;10;1.25
9;13;Hegelmann Litauen 2;8;2;1;5;7;15;-8;7;0.875
9;14;Siauliai 2;8;1;2;5;8;19;-11;5;0.625
9;15;Ekranas;8;1;0;7;6;16;-10;3;0.375
9;16;Kauno Zalgiris 2;9;0;1;8;3;16;-13;1;0.111
10;1;FK Minija;10;9;1;0;32;7;25;28;2.8
10;2;Babrungas;10;8;2;0;21;3;18;26;2.6
10;3;BE1 NFA;9;6;2;1;22;11;11;20;2.222
10;4;Garliava;10;5;2;3;16;9;7;17;1.7
10;5;Tauras;9;5;1;3;14;10;4;16;1.778
10;6;Neptunas;10;5;1;4;12;12;0;16;1.6
10;7;Dainava Alytus;10;4;3;3;15;13;2;15;1.5
10;8;Atmosfera;9;4;1;4;17;12;5;13;1.444
